Year,Winners,Score,Runners-up,Score,Venue
2007,DIT,1-10 ( 13 ),Carlow,1-07 ( 10 ),Dr. Cullen Park
2008,Meath,1-20 ( 23 ),Carlow,0-17 ( 17 ),O'Moore Park
2009,Westmeath,0-16 ( 16 ),Carlow,0-09 ( 9 ),Kinnegad
2010,Westmeath,1-15 ( 18 ),Kildare,1-11 ( 14 ),St Conleth 's Park
2011,Meath,0-16 ( 16 ),Wicklow,1-11 ( 14 ),Pearse Park ( Arklow )
2012,GMIT,2-18 ( 24 ),"St Pat 's , Drumcondra",1-13 ( 16 ),Na Fianna GAA
2013,Kildare,2-11 ( 17 ),Meath,0-13 ( 13 ),St. Loman 's Park
2014,Meath,1-21 ( 24 ),Kildare,0-19 ( 19 ),St Conleth 's Park
2015,Meath,0-17,Wicklow,0-07,St. Loman 's Park
2016,Kildare,3-15 ( 24 ),Maynooth University,3-05 ( 15 ),Hawkfield
2017,Maynooth University,1-23 ( 26 ),Wicklow,2-11 ( 17 ),"Pearse Park , Arklow"
2018,Longford,0-11 ( 11 ),Wicklow B,0-10 ( 10 ),"Pearse Park , Longford"
2019,Westmeath,2-20 ( 26 ),Antrim,1-23 ( 26 ),"National Games Development Centre , Abbotstown"
2020,Offaly,1-16 ( 19 ),Antrim,1-15 ( 18 ),Páirc Tailteann
