Medal,Name,Event,Games
Gold,Defia Rosmaniar,Women 's Individual Poomsae,2018 Asian Games
Silver,Jeffi Triaji,Men 's -50 kg,1986 Asian Games
Silver,Abdul Rozak,Men 's -58 kg,1986 Asian Games
Silver,Lam Ting,Men 's -76 kg,1986 Asian Games
Silver,Lugi Riyandi,Men 's -50 kg,1994 Asian Games
Silver,Alfons Lung,Men 's -58 kg,1994 Asian Games
Silver,Satriyo Rahadhani,Men 's -54 kg,1998 Asian Games
Bronze,Budi Setiawan,Men 's -54 kg,1986 Asian Games
Bronze,Andri Halim,Men 's -83 kg,1994 Asian Games
Bronze,Juana Wangsa Putri,Women 's -47 kg,1998 Asian Games
Bronze,Sinta Berliana Heru,Women 's +70 kg,1998 Asian Games
Bronze,Muhammad Dalam Imam,Men 's -54 kg,2002 Asian Games
Bronze,Juana Wangsa Putri,Women 's -51 kg,2002 Asian Games
Bronze,Amalia Kurniasih Palupi,Women 's +73 kg,2006 Asian Games
Bronze,Fransisca Valentina,Women 's -46 kg,2010 Asian Games
