,Name on the Register,Date listed,Location,City or town
1,Deuel County Courthouse and Jail,"June 16 , 1976 ( # 76001730 )",Highway 22 44°45′19″N 96°41′05″W / 44.755264°N 96.68478944°W / 44.755264 ; -96.68478944 ( Deuel County Courthouse and Jail ),Clear Lake
2,East Highland Lutheran Church,"February 18 , 2000 ( # 00000120 )",Approximately 6 miles northeast of Brandt 44°40′29″N 96°31′31″W / 44.674722°N 96.525278°W / 44.674722 ; -96.525278 ( East Highland Lutheran Church ),Brandt
3,First National Bank Building,"December 2 , 1977 ( # 77001242 )",Off Highway 22 44°47′34″N 96°27′24″W / 44.792778°N 96.456667°W / 44.792778 ; -96.456667 ( First National Bank Building ),Gary
4,Herrick Barn,"June 22 , 2005 ( # 05000628 )",0.5 miles northwest of the junction of County Road 310 and Highway 101 44°47′43″N 96°28′01″W / 44.795278°N 96.466944°W / 44.795278 ; -96.466944 ( Herrick Barn ),Gary
5,Hoffman Barn,"October 26 , 2005 ( # 05001188 )",16937 482 Ave. 44°55′47″N 96°33′31″W / 44.929722°N 96.558611°W / 44.929722 ; -96.558611 ( Hoffman Barn ),Revillo
6,Kliegle Garage,"September 29 , 1999 ( # 99001213 )",Lots 1 and 2 of the original townsite of Goodwin 44°52′41″N 96°51′02″W / 44.878056°N 96.850556°W / 44.878056 ; -96.850556 ( Kliegle Garage ),Goodwin
7,Odd Fellows Building,"June 3 , 1976 ( # 76001731 )",Main St. 44°47′34″N 96°27′24″W / 44.792778°N 96.456667°W / 44.792778 ; -96.456667 ( Odd Fellows Building ),Gary
8,Old Cochrane Road Bridge,"December 9 , 1993 ( # 93001268 )",Abandoned local road over the inlet to Lake Cochrane 44°42′03″N 96°29′15″W / 44.700833°N 96.4875°W / 44.700833 ; -96.4875 ( Old Cochrane Road Bridge ),Brandt
9,South Dakota Dept . of Transportation Bridge No . 20-153-210,"December 9 , 1993 ( # 93001286 )",Local road over Cobb Creek 44°40′27″N 96°34′28″W / 44.674167°N 96.574444°W / 44.674167 ; -96.574444 ( South Dakota Dept . of Transportation Bridge No . 20-153-210 ),Brandt
10,South Dakota School for the Blind,"May 26 , 1988 ( # 88000570 )",Coteau and 3rd Sts . 44°47′46″N 96°27′18″W / 44.796111°N 96.455°W / 44.796111 ; -96.455 ( South Dakota School for the Blind ),Gary
