Name,Height,Position,High School,Hometown,College Choice
Oderah Chidom,6-3,F,Bishop O'Dowd,"Oakland , CA",Duke
Kendall Cooper,6-3,C,St. Anthony,"Carson , CA",Duke
Rebekah Dahlman,5-9,G,Braham,"Braham , MN",Vanderbilt
Rebecca Greenwell,6-1,G,Owensboro Catholic,"Owensboro , KY",Duke
Linnae Harper,5-6,G,Whitney Young,"Chicago , IL",Kentucky
Kailee Johnson,6-3,F,Central Catholic,"Portland , OR",Stanford
Erica McCall,6-3,F,Ridgeview,"Bakersfield , CA",Stanford
Kelsey Plum,5-9,G,La Jolla Country Day,"Poway , CA",Washington
Jordan Reynolds,6-1,G,Central Catholic,"Portland , OR",Tennessee
Mercedes Russell,6-5,C,Springfield,"Springfield , OR",Tennessee
Tyler Scaife,5-8,G,Hall,"Little Rock , AR",Rutgers
Jessica Washington,5-8,G,Jenks,"Tulsa , OK",North Carolina
