Year,Player,High School,College
1994,Michael Dickerson,Federal Way,Arizona
1995,Donald Watts,Lake Washington,Washington
1996,Quincy Wilder,Decatur,Highline / USC / Evergreen State
1997,Michael Johnson,Ballard,Washington
1998,Grant Leep,Mount Vernon,Washington
1999,Curtis Borchardt,Eastlake,Stanford
2000,Luke Ridnour,Blaine,Oregon
2001,Eroll Knight,Chief Sealth,Washington / Gonzaga
2002,Justin Holt,Tacoma Lincoln,Tacoma / Indian Hills
2003,Aaron Brooks,Franklin,Oregon
2004,David Pendergraft,Brewster,Gonzaga
2005,Jon Brockman,Snohomish,Washington
2006,Spencer Hawes,Seattle Prep,Washington
2007,Venoy Overton,Franklin,Washington
2008,Shawn Stockton,Ferris,Montana
2009,Peyton Siva,Franklin,Louisville
2010,Joe Harris,Chelan,Virginia
2011,Gary Bell Jr,Kentridge,Gonzaga
2012,Jordan Chatman,Union,BYU
2013,Zach LaVine,Bothell,UCLA
