Name,Location,Year,Architectural style
Wapauwe Old Mosque Masjid Tua Wapauwe,"Central Maluku Regency , Maluku 3°35′07″S 128°05′03″E / 3.585226°S 128.084243°E / -3.585226 ; 128.084243 ( Wapauwe Old Mosque )",1414 ? ( established ),Javanese
Ampel Mosque Masjid Ampel ꦩꦱ꧀ꦗꦶꦢ꧀ꦲꦩ꧀ꦥꦺꦭ꧀,"Surabaya , East Java 7°13′47″S 112°44′33″E / 7.2296°S 112.7426°E / -7.2296 ; 112.7426 ( Ampel Mosque )","1421 ( original column , mosque has been restored several times )",Javanese
Great Mosque of Demak Masjid Agung Demak ꦩꦱ꧀ꦗꦶꦢ꧀ꦲꦒꦸꦁꦢꦺꦩꦏ꧀,"Demak Regency , Central Java 6°53′41″S 110°38′15″E / 6.8946°S 110.6374°E / -6.8946 ; 110.6374 ( Great Mosque of Demak )","1466 , 1506",Javanese
Red Mosque of Panjunan Masjid Merah Panjunan ᮙᮞ᮪ᮏᮤᮓ᮪ ᮙᮦᮛᮂ ᮕᮔ᮪ᮏᮥᮔᮔ᮪ ꦩꦱ꧀ꦗꦶꦢ꧀ꦩꦺꦫꦃꦥꦤ꧀ꦗꦸꦤ꧀,"Cirebon , West Java 6°43′03″S 108°33′58″E / 6.7175°S 108.5660°E / -6.7175 ; 108.5660 ( Red Mosque of Panjunan )",1480,Javanese
Great Mosque of Cirebon Masjid Agung Cirebon ᮙᮞ᮪ᮏᮤᮓ᮪ ᮃᮌᮨᮀ ᮎᮤᮛᮨᮘᮧᮔ᮪ ꦩꦱ꧀ꦗꦶꦢ꧀ꦲꦒꦸꦁꦕꦶꦫꦺꦧꦺꦴꦤ꧀,"Cirebon , West Java 6°43′32″S 108°34′12″E / 6.725547°S 108.569919°E / -6.725547 ; 108.569919 ( Great Mosque of Cirebon )",1489,Javanese
Menara Kudus Mosque Masjid Menara Kudus ꦩꦱ꧀ꦗꦶꦢ꧀ꦩꦼꦤꦫꦑꦸꦢꦸꦱ꧀,"Kudus Regency , Central Java 6°48′15″S 110°49′58″E / 6.8042°S 110.8328°E / -6.8042 ; 110.8328 ( Menara Kudus Mosque )",1549,"Hindu temple -style ( minaret ) , Iranian ( mosque )"
Kasunyatan Mosque Masjid Kasunyatan ᮙᮞ᮪ᮏᮤᮓ᮪ ᮊᮞᮥᮑᮒᮔ᮪,"Serang Regency , Banten 6°03′03″S 106°09′26″E / 6.0509°S 106.1572°E / -6.0509 ; 106.1572 ( Kasunyatan Mosque )",Between 1570 and 1596,"Javanese , Portuguese , Hindu"
Mantingan Mosque Masjid Mantingan ꦩꦱ꧀ꦗꦶꦢ꧀ꦩꦤ꧀ꦠꦶꦔꦤ꧀,"Jepara Regency , Central Java 6°37′10″S 110°40′06″E / 6.6194°S 110.6683°E / -6.6194 ; 110.6683 ( Mantingan Mosque )",1556-1559,"Javanese , Tajug"
Great Mosque of Banten Masjid Agung Banten ᮙᮞ᮪ᮏᮤᮓ᮪ ᮠᮌᮨᮀ ᮘᮔ᮪ᮒᮨᮔ᮪,"Serang , Banten 6°02′10″S 106°09′14″E / 6.0360°S 106.1540°E / -6.0360 ; 106.1540 ( Great Mosque of Banten )",1560,Javanese
Tuo Kayu Jao Mosque Masjid Tuo Kayu Jao موساجيك توا كايو جاو,"Solok Regency , West Sumatra 1°00′16″S 100°37′43″E / 1.0044°S 100.6287°E / -1.0044 ; 100.6287 ( Tuo Kayu Jao Mosque )",1599,Minangkabau
Indrapuri Old Mosque Masjid Tua Indrapuri مسجد توا اندراڤوري,"Aceh Besar Regency , Aceh 5°24′55″N 95°26′48″E / 5.4154°N 95.4466°E / 5.4154 ; 95.4466 ( Indrapuri Old Mosque )",between 1607-1636,"Acehnese , Hindu"
