Location,Date,Sculptor
City of London Blackfriars Bridge,1893 and 1896,Charles Bell Birch
City of London Royal Exchange,1891-6,William Hamo Thornycroft
"Croydon Town Hall , Katherine Street",1903,Francis John Williamson
"Statue of Queen Victoria , Kensington Palace Kensington and Chelsea Kensington Gardens",1893,"Princess Louise , Duchess of Argyll"
Kensington and Chelsea Imperial College,1888,
Lambeth St Thomas 's Hospital,1873,Matthew Noble
Westminster Carlton House Terrace,c. 1898-1902,Sir Thomas Brock
Westminster Victoria Memorial The Mall,1911,Sir Thomas Brock
Westminster Victoria Square,2007,Catherine Laugel
Woolwich Woolwich Town Hall,1906 ( erected ),Frederick William Pomeroy
