Date,Sport,Venue/Event,Status,Winner/s
1-17,Rugby union,2014 Women 's Rugby World Cup,International,England
2-10,Tennis,2014 Rogers Cup,International,Men : Jo-Wilfried Tsonga Women : Agnieszka Radwańska
3,WTCC,2014 FIA WTCC Race of Argentina,International,José María López ( Citroën ) ( both races won )
5-24,Association football,2014 FIFA U-20 Women 's World Cup,International,Germany
6-10,Canoeing,2014 ICF Canoe Sprint World Championships,International,Hungary
7-10,Golf,2014 PGA Championship,International,Rory McIlroy
10,Motorcycle racing,2014 Indianapolis motorcycle Grand Prix,International,MotoGP : Marc Márquez ( Honda ) Moto2 : Mika Kallio ( Marc VDS Racing Team ) Moto3 : Efrén Vázquez ( Honda )
10-17,Athletics,2014 European Athletics Championships,Continental,Great Britain
11-17,Tennis,2014 Western & Southern Open,Continental,Men : Roger Federer Women : Serena Williams
12,Association football,2014 UEFA Super Cup,Continental,Real Madrid
13-24,Swimming,2014 European Aquatics Championships,Continental,Great Britain
14-17,Golf,2014 LPGA Championship,International,Inbee Park
16-28,Multi-sport,2014 Summer Youth Olympics,International,China
16-4 October,Rugby union,/ / / 2014 Rugby Championship,International,New Zealand
17,Motorcycle racing,2014 Czech Republic motorcycle Grand Prix,International,MotoGP : Dani Pedrosa ( Honda ) Moto2 : Esteve Rabat ( Marc VDS Racing Team ) Moto3 : Alexis Masbou ( Honda )
19-23,Squash,Malaysian Open 2014,International,Raneem El Weleily
21,Athletics,DN Galan,International,United States
21-25,Swimming,2014 Pan Pacific Swimming Championships,International,United States
23-24,Triathlon,2014 ITU World Triathlon Series # 7,International,Men : Jonathan Brownlee Women : Sarah Groff
23-7 September,Equestrianism,2014 FEI World Equestrian Games,International,Great Britain
