Nationality,Celebrity,Known for,Charity,Status
Mexico,Stephanie Salas,Former Television Actress,Puentes de Salud,"Eliminated ( Day 7 ) st on September 25 , 2011"
Mexico,Geraldine Bazan,Actress,Big Brothers Big Sisters of America,"Eliminated ( Day 14 ) nd on October 3 , 2011"
Mexico,Blue Demon Jr,"Professional wrestler , son of the legendary Blue Demon",Shriners Hospitals for Children,"Eliminated ( Day 21 ) rd on October 9 , 2011"
Venezuela,Alejandro Chabán,Actor and model,Partnership for a Healthier America,"Eliminated ( Day 28 ) th on October 16 , 2011"
Argentina,Christian Suarez,Boyfriend of Talk Show Host Laura Bozzo,La Ventana de los Cielos,"Eliminated ( Day 35 ) th on October 23 , 2011"
Mexico,José Manuel Figueroa,Singer,CARE,"Eliminated ( Day 42 ) th on October 27 , 2011"
Mexico,Elizabeth Gutierrez,Actress,The Children 's Trust,"Eliminated ( Day 49 ) th on November 12 , 2011"
Puerto Rico,Erik Estrada,Actor,Smile Train,"Third Place ( Day 57 ) on November 20 , 2011"
Mexico,Prisila Angel,Singer,Trekking for Kids,"Second Place ( Day 57 ) on November 20 , 2011"
Puerto Rico,Adamari Lopez,Actress,Susan G. Komen for the Cure,"Winner on November 20 , 2011"
