Title,Director,Actors,Genre,Notability
Acrobacias del corazón,María Teresa Constantini,Gabriel Goity,Romantic drama,Said to be based on Constantini 's real life
Almejas y mejillones,Marcos Carnevale,Leticia Brédice,Comedy,"Gross ( est . ) €1,332,890"
Apariencias,Alberto Lecchi,"Andrea Del Boca , Adrián Suar",Romantic comedy,Covers common marriage problems
El asadito,Gustavo Postiglione,Gerardo Dayub,Drama,Two Silver Condor Award Noms
Attack of the Killer Hog,Agustín Cavalieri,Gabriel Grieco,Horror,Released in Germany
Las aventuras de Dios,Eliseo Subiela,Daniel Freire,Fantasy,
Buenos Aires plateada,Luis Barone,Luis Luque,Drama,Shot in black and white
Botín de guerra,David Blaustein,,Documentary,A documentary about Argentina 's Dirty war
"Cóndor Crux , la leyenda",José Luis Garci,Leticia Brédice,Adventure,Won a Silver Condor for best animated film
Nueve reinas,Fabián Bielinsky,"Gastón Pauls , Ricardo Darín L.Brédice",Crime film,
Que absurdo es haber crecido,Roly Santos,"Gustavo Garzón , Leo Masliah Victoria de Elizalde",Drama film,
