Year,English title,Original title,Director
1997,Xiao Wu,小武,Jia Zhangke
1999,Ordinary Heroes,千言万语,Ann Hui
2000,Platform,站台,Jia Zhangke
2001,In Public,公共场所,Jia Zhangke
2002,Unknown Pleasures,任逍遙,Jia Zhangke
2004,The World,世界,Jia Zhangke
2006,Still Life,三峡好人,Jia Zhangke
2006,Dong,东,Jia Zhangke
2006,The Postmodern Life of My Aunt,姨妈的后现代生活,Ann Hui
2007,Getting Home,落叶归根,Zhang Yang
2007,Useless,无用,Jia Zhangke
2008,24 City,二十四城记,Jia Zhangke
2010,I Wish I Knew,海上传奇,Jia Zhangke
2010,Dream Home,维多利亚壹号,Pang Ho-cheung
2011,Sauna on Moon,嫦娥,Zou Peng
2011,Love and Bruises,花,Lou Ye
2011,A Simple Life,桃姐,Ann Hui
2013,Forgetting to Know You,忘了去懂你,Quan Ling
2013,Beloved,亲・爱,Li Xinman
2013,A Touch of Sin,天注定,Jia Zhangke
