Country,Concluded,Rights
Albania,19 January 2015,
Bahrain,7 April 2005,1st to 6th freedom ; 7th freedom for cargo only
Barbados,17 July 2013,
Belize,11 May 2017,1st to 6th freedom ; 7th freedom for cargo only
Brunei Darussalam,1 May 2001 27 December 2004,1st to 6th freedom ; 7th freedom for cargo only
Bulgaria,22 October 2009,1st to 6th freedom
Burundi,16 February 2016,1st to 6th freedom ; 7th freedom for cargo only
Chile,1 May 2001,1st to 6th freedom ; 7th freedom for cargo only
Cook Islands,,1st to 6th freedom ; 7th freedom for cargo only
Czech Republic,19 January 2009,1st to 6th freedom
Denmark,29 January 2008,1st to 6th freedom ; 7th freedom for cargo only
Iceland,23 January 2009,1st to 7th freedom
Ireland,13 December 2006,1st to 6th freedom
Kuwait,4 November 2008,1st to 6th freedom
Lithuania,20 October 2009,1st to 7th freedoms
