Team,Location,Stadium,Stadium capacity
Jitex BK,Mölndal,Åbyvallen,"1,500"
KIF Örebro DFF,Örebro,Behrn Arena,"13,500"
Kopparbergs/Göteborg FC,Gothenburg,Valhalla IP,"3,000"
Kristianstads DFF,Kristianstad,Vilans IP,"5,000"
LdB FC Malmö,Malmö,Malmö IP,"6,800"
Linköpings FC,Linköping,Arena Linköping,"8,500"
Mallbackens IF,Lysvik,Strandvallen,"4,000"
Piteå IF,Piteå,LF Arena,"3,950"
Sunnanå SK,Skellefteå,Norrvalla IP,"3,000"
Tyresö FF,Tyresö,Tyresövallen,"3,500"
Umeå IK,Umeå,T3 Arena,"9,000"
Vittsjö GIK,Vittsjö,Vittsjö IP,"3,000"
