Position,Player,From club,Fee
GK,Muhd Azam Jais,SSTMI,align=right| 0
GK,Mohd Mursyidin Maudoode,Johor Darul Takzim II F.C . On Loan,align=right| 0
DF,Sanjef Dinesh a/l R.S . Baskeran,Penang FA,align=right| 0
DF,Awangku Mohamad Hamirullizam,Sabah FA,align=right| 0
MF,Dominic Tan Jun Jin,National Football Academy ( Singapore ),align=right| 0
DC,Muhammad Mohd Fauzi,T-Team F.C . On Loan,align=right| 0
MF,Amirul Ikmal Hafiz,Johor Darul Takzim II F.C . On Loan,align=right| 0
AMC/ST,Mohd Alif Haikal Mohd Sabri,Selangor FA,align=right| 0
DF,Kannan a/l Kalaiselvan,Selangor FA,align=right| 0
ST,Adam Shafiq Fua'ad,Selangor FA,align=right| 0
ST,Sean Eugene Selvaraj,Negeri Sembilan FA On Loan,align=right| 0
DF,Mohd Adib Zainuddin,Johor Darul Takzim II F.C,align=right| 0
DL,Muhd Syazwan Andik Mohd Ishak,Johor Darul Takzim II F.C . On Loan,align=right| 0
DR,Shafiq Azreen Sa'ari,SSTMI,align=right| 0
DF,Muhammad Amirul Hafizul Syamsul,SSTMI,align=right| 0
AMRL/ST,Kumaahran a/l Sathasivam,Penang FA,align=right| 0
DF,Johar Adli Joharudin,Perak FA,align=right| 0
