Week,Tournament,State/Country,Winner
Feb 5-8,BellSouth Panama Championship,Panama,Jimmy Walker ( 1 )
Feb 19-22,Jacob 's Creek Open Championship,Australia,Euan Walters ( 1 )
Feb 26-29,New Zealand PGA Championship,New Zealand,Gavin Coles ( 2 )
Mar 25-28,Chitimacha Louisiana Open,Louisiana,Jimmy Walker ( 2 )
Apr 15-18,First Tee Arkansas Classic,Arkansas,Daniel Chopra ( 1 )
Apr 22-25,Rheem Classic,Arkansas,Franklin Langham ( 2 )
Apr 29 - May 2,BMW Charity Pro-Am at The Cliffs,South Carolina,Ryuji Imada ( 2 )
May 6-9,Chattanooga Classic,Tennessee,Justin Bolli ( 1 )
May 20-23,Henrico County Open,Virginia,Daniel Chopra ( 2 )
May 27-30,SAS Carolina Classic,North Carolina,Chris Anderson ( 1 )
Jun 3-6,Knoxville Open,Tennessee,Hunter Haas ( 1 )
Jun 10-13,LaSalle Bank Open,Tennessee,Brendan Jones ( 1 )
Jun 17-20,Northeast Pennsylvania Classic,Pennsylvania,D. A . Points ( 2 )
Jun 24-27,Lake Erie Charity Classic at Peek ' n Peak Resort,New York,Kevin Stadler ( 1 )
Jul 1-4,The Reese 's Cup Classic,Pennsylvania,Ben Bates ( 2 )
Jul 8-11,Scholarship America Showdown,Wisconsin,Kevin Stadler ( 2 )
Jul 15-18,Pete Dye West Virginia Classic,West Virginia,D. A . Points ( 2 )
Jul 22-25,Samsung Canadian PGA Championship,Canada,Charles Warren ( 2 )
Jul 29 - Aug 1,Preferred Health Systems Wichita Open,Kansas,Bradley Hughes ( 1 )
Aug 5-8,Cox Classic,Nebraska,Charles Warren ( 3 )
