Year,Winner ( s ),HR,Team,Runner ( s ) -up,2nd HR
1876,George Hall,5,Philadelphia Athletics ( NL ),Charley Jones,4
1877,Lip Pike,4,Cincinnati Reds,Orator Shafer,3
1878,Paul Hines,4,Providence Grays,Charley Jones,3
1879,Charley Jones,9,Boston Red Caps,Jim O'Rourke,6
1880,Harry Stovey Jim O'Rourke,6,Worcester Ruby Legs Boston Red Caps,Charley Jones,5
1881,Dan Brouthers,8,Buffalo Bisons,Charlie Bennett,7
1882,George Wood,7,Detroit Wolverines,Mike Muldoon Dan Brouthers,6
1883,Buck Ewing,10,New York Giants,Jerry Denny Joe Hornung,8
1884,Ned Williamson,27,Chicago White Stockings,Fred Pfeffer,25
1885,Abner Dalrymple,11,Chicago White Stockings,King Kelly,9
1886,Dan Brouthers Hardy Richardson,11,Detroit Wolverines,Cap Anson,10
1887,Billy O'Brien,19,Washington Nationals,Roger Connor,17
1888,Jimmy Ryan,16,Chicago White Stockings,Roger Connor,14
1889,Sam Thompson,20,Philadelphia Quakers,Jerry Denny,18
1890,Oyster Burns Mike Tiernan Walt Wilmot,13,Brooklyn Bridegrooms New York Giants Chicago Colts,Herman Long,8
1891,Mike Tiernan Harry Stovey,16,New York Giants Boston Beaneaters,Walt Wilmot,11
1892,Bug Holliday,13,Cincinnati Reds,Roger Connor,12
1893,Ed Delahanty,19,Philadelphia Phillies,Jack Clements,17
1894,Hugh Duffy,18,Boston Beaneaters,Bill Joyce Bobby Lowe,17
1895,Sam Thompson,18,Philadelphia Phillies,Bill Joyce,17
