City served,ICAO,Airport name
Ansongo,GAAO,Ansongo Airport
Bafoulabe,GABF,Bafoulabe Airport
Bamako,GABS,Senou International Airport
Bandiagara,GABD,Bandiagara Airport
Bougouni,GABG,Bougouni Airport
Bourem,GABR,Bourem Airport
Douentza,GADZ,Douentza Airport
Goundam,GAGM,Goundam Airport
Gao,GAGO,Gao International Airport
Kayes,GAKY,Kayes Airport
Kenieba,GAKA,Kenieba Airport
Kidal,GAKL,Kidal Airport
Kita,GAKT,Kita Airport
Kolokani,GAKN,Kolokani Airport
Koutiala,GAKO,Koutiala Airport
Manantali,,Bengassi Airport
Markala,GAMA,Markala Airport
Ménaka,GAMK,Menaka Airport
Mopti,GAMB,Mopti Airport
Nara,GANK,Keibane Airport
