Medal,Name,Sport,Event,Date
Gold,Adrian Ang Alex Liew,Bowling,Men 's doubles,17
Gold,Alex Liew,Bowling,Men 's all-events,22
Gold,Azizulhasni Awang,Cycling,Men 's keirin,17
Gold,Ku Jin Keat,Karate,Men 's individual kata,24
Gold,Puvaneswaran Ramasamy,Karate,Men 's -55 kg,24
Gold,Nicol David,Squash,Women 's singles,21
Gold,Mohd Azlan Iskandar,Squash,Men 's singles,21
Gold,Delia Arnold Nicol David Low Wee Wern Sharon Wee,Squash,Women 's team,25
Gold,Chai Fong Ying,Wushu,Women 's taijijian and taijiquan,15
Silver,Koo Kien Keat Tan Boon Heong,Badminton,Men 's doubles,20
Silver,Lee Chong Wei,Badminton,Men 's singles,21
Silver,Ibrahim Amir,Cue sports,Men 's eight ball singles,15
Silver,Aaron Kong Adrian Ang Alex Liew Muhamad Syafiq Ridhwan Muhammad Nur Aiman Zulmazran Zulkifli,Bowling,Men 's team,22
Silver,Josiah Ng,Cycling,Men 's keirin,17
Silver,Leong Mun Yee Ng Yan Yee,Diving,Women 's synchronized 3 metre springboard,22
Silver,Bryan Nickson Lomas Ooi Tze Liang,Diving,Men 's synchronized 10 metre platform,22
Silver,Leong Mun Yee Pandelela Rinong,Diving,Women 's synchronized 10 metre platform,23
Silver,Bryan Nickson Lomas Yeoh Ken Nee,Diving,Men 's synchronized 3 metre springboard,23
Silver,Nur Quzandria Mahamad Fathil,Equestrian,Individual dressage,17
Silver,Malaysia men 's national field hockey team Amin Rahim Azlan Misron Azreen Rizal Nasir Baljit Singh Charun Faizal Saari Hafifihafiz Hanafi Izwan Firdaus Kumar Subramaniam Madzli Ikmar Marhan Jalil Nabil Fiqri Razie Rahim Roslan Jamaluddin Shahrun Nabil Sukri Mutalib Tengku Ahmad Tajuddin,Field hockey,Men 's tournament,25
