Title,Publisher,Release Date,CERO
Zelda no Densetsu 1,Nintendo,"December 22 , 2011",A
Super Mario Bros,Nintendo,"January 5 , 2012",A
Punch-Out ! !,Nintendo,"February 1 , 2012",A
Metroid,Nintendo,"February 29 , 2012",A
Donkey Kong Jr,Nintendo,"April 18 , 2012",A
Zelda no Densetsu 2 : Link no Bōken,Nintendo,"June 6 , 2012",A
Ice Climber,Nintendo,"July 4 , 2012",A
Rockman,Capcom,"July 18 , 2012",A
Super Mario Bros. 2,Nintendo,"July 25 , 2012",A
Fire Emblem : Ankoku Ryū to Hikari no Tsurugi,Nintendo,"August 1 , 2012",A
Rockman 2 : Dr. Wily no Nazo,Capcom,"August 8 , 2012",A
Mario Open Golf,Nintendo,"August 10 , 2012",A
Balloon Fight,Nintendo,"August 22 , 2012",A
Yoshi no Tamago,Nintendo,"August 22 , 2012",A
Ninja Ryūkenden,Koei Tecmo,"August 29 , 2012",A
Chō Wakusei Senki : Metafight,Sunsoft,"September 5 , 2012",A
Salada no Kuni no Tomato Hime,Konami,"September 19 , 2012",A
Wrecking Crew,Nintendo,"September 19 , 2012",A
Mighty Bomb Jack,Koei Tecmo,"September 26 , 2012",A
Rockman 3 : Dr Wily no Saigo ! ?,Capcom,"September 26 , 2012",A
