Medal,Name,Sport,Event,Date
Gold,Jade Jones,Taekwondo,Women 's 55 kg,17 Aug
Gold,Fiona Gammond Georgia Howard-Merrill,Rowing,Junior Women 's pair,18 Aug
Gold,Carian Scudamore,Equestrian,Team Jumping,20 Aug
Gold,Oliver Golding,Tennis,Boys ' Doubles,20 Aug
Gold,Sam Oldham,Gymnastics,Men 's horizontal bar,22 Aug
Silver,Sam Oldham,Gymnastics,Men 's pommel horse,21 Aug
Silver,David Bolarinwa,Athletics,Boys ' Medley Relay,23 Aug
Bronze,Rachael Kelly,Swimming,Youth Women 's 100m Butterfly,20 Aug
Bronze,Eleanor Faulkner,Swimming,Youth Women 's 400m Freestyle,20 Aug
Bronze,David Bolarinwa,Athletics,Boys ' 100 metres,21 Aug
Bronze,Charlie Grice,Athletics,Boys ' 1000m,22 Aug
Bronze,Annie Tagoe,Athletics,Girls ' Medley Relay,23 Aug
Bronze,Kieran Martin,Sailing,Boys ' Windsurfing ( Techno 293 ),25 Aug
