Year,Gold,Silver,Bronze
1959,Yugoslavia,Hungary,Italy
1961,Yugoslavia,Soviet Union,Hungary
1963,Hungary,Soviet Union,Brazil
1965,Hungary,Soviet Union,Romania
1967,Japan,United States,Italy
1970,Soviet Union,Italy,Hungary
1973,Soviet Union,Cuba,United States
1977,Romania,Hungary,Italy
1979,United States,Soviet Union,Yugoslavia
1981,Cuba,United States,Romania
1983,Soviet Union,United States,Cuba
1985,Soviet Union,Yugoslavia,Cuba
1987,Italy,Cuba,Yugoslavia
1991,United States,China,Italy
1993,United States,Hungary,Italy
1995,Yugoslavia,Hungary,Australia
1997,Italy,Hungary,Australia
1999,Spain,Italy,Hungary
2001,Italy,Russia,Hungary
2003,Hungary,Serbia and Montenegro,Australia
