Team,Winners,Runners-up,Years Won,Years Runner-up
W Connection,3,6,"2002 , 2006 , 2009","2000 , 2001 , 2003 , 2012 , 2015 , 2016"
Joe Public,2,2,"1998 , 2000","2007 , 2010"
Puerto Rico Islanders,2,1,"2010 , 2011",2009
Portmore United,2,0,"2005 , 2019",
Central,2,0,"2015 , 2016",
Harbour View,2,0,"2004 , 2007",
San Juan Jabloteh,1,2,2003,"2006 , 2017"
Caledonia AIA,1,1,2012,1998
Atlético Pantoja,1,0,2018,
Cibao,1,0,2017,
Defence Force,1,0,2001,
United Petrotrin,1,0,1997,
Arnett Gardens,0,2,,"2002 , 2018"
Waterhouse,0,1,,2019
Tempête,0,1,,2011
Robinhood,0,1,,2005
Tivoli Gardens,0,1,,2004
Seba United,0,1,,1997
