#,Name in French,Name in Dutch,Opened,Interchange
1,Gare de l'Ouest,Weststation,1982,"Belgian Rail , Line 2 , Line 5 , Line 6"
2,Beekkant,Beekkant,1981,"Line 2 , Line 5 , Line 6"
3,Étangs Noirs,Zwarte Vijvers,1981,Line 5
4,Comte de Flandre,Graaf van Vlaanderen,1981,Line 5
5,Sainte-Catherine,Sint-Katelijne,1977,Line 5
6,De Brouckère,De Brouckère,1976,"Line 3 , Line 4 , Line 5"
7,Gare Centrale,Centraal Station,1976,"Line 5 , Belgian Rail"
8,Parc,Park,1976,Line 5
9,Arts-Loi,Kunst-Wet,1976,"Line 2 , Line 5 , Line 6"
10,Maelbeek,Maalbeek,1976,Line 5
11,Schuman,Schuman,1976,"Line 5 , Belgian Rail"
12,Mérode,Mérode,1976,"Line 5 , Belgian Rail"
13,Montgomery,Montgomery,1976,"None , Outer Ring Axis , Line 7"
14,Joséphine-Charlotte,Joséphine-Charlotte,1976,None
15,Gribaumont,Gribaumont,1976,None
16,Tomberg,Tomberg,1976,None
17,Roodebeek,Roodebeek,1982,None
18,Vandervelde,Vandervelde,1982,None
19,Alma,Alma,1982,None
20,Crainhem,Kraainem,1988,None
