Year,Laureate,Relation,Category,Rationale
1929,Frederick Gowland Hopkins ( shared with Christiaan Eijkman ),"Student , Royal School of Mines , 1881-1883",Physiology or Medicine,for his discovery of the growth-stimulating vitamins
1937,George Paget Thomson ( shared with Clinton Davisson ),"Professor of Physics 1930-1952 ; Fellow of Imperial College , 1955",Physics,for their experimental discovery of the diffraction of electrons by crystals
1945,Ernst Boris Chain ( shared with Alexander Fleming and Howard Florey ),"Professor of Bacteriology , 1928-1948 , St Mary 's Hospital Medical School",Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
1945,Alexander Fleming ( shared with Ernst Boris Chain and Howard Florey ),"Professor of Bacteriology , 1928-1948 , St Mary 's Hospital Medical School",Physiology or Medicine,for the discovery of penicillin and its curative effect in various infectious diseases
1948,"Patrick Blackett , Baron Blackett","Professor of Physics , 1953-65 ; Fellow of Imperial College , 1967",Physics,"for his development of the Wilson cloud chamber method , and his discoveries therewith in the fields of nuclear physics and cosmic radiation"
1956,Cyril Norman Hinshelwood ( shared with Nikolay Semenov ),"Senior Research Fellow Imperial College , 1964-1967",Chemistry,for their researches into the mechanism of chemical reactions
1963,Andrew Huxley ( shared with John Carew Eccles and Alan Lloyd Hodgkin ),"Fellow of Imperial College , 1980",Physiology or Medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
1967,George Porter ( shared with Manfred Eigen and Ronald George Wreyford Norrish ),"Visiting Professor , Department of Biology 1978-2002 ; Fellow of Imperial College , 1987",Chemistry,"for their studies of extremely fast chemical reactions , effected by disturbing the equilibrium by means of very short pulses of energy"
1969,Derek Barton ( shared with Odd Hassel ),"Professor of Organic Chemistry , 1957-1978 ; Fellow of Imperial College , 1980 ; Emeritus Professor , 1978",Chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
1971,Dennis Gabor,"Professor of Electron Physics , 1958-67 ; Fellow of Imperial College , 1970",Physics,for his invention and development of the holographic method
1972,Rodney Robert Porter ( shared with Gerald Edelman ),"Pfizer Professor of Immunology , ; St Mary 's Hospital Medical School 1960-1967",Physiology or Medicine,for their discoveries concerning the chemical structure of antibodies
1973,Geoffrey Wilkinson ( shared with Ernst Otto Fischer ),"Professor of Inorganic Chemistry , 1956-1996 ; Emeritus Professor 1988 ; Fellow of Imperial College , 1993",Chemistry,"for their pioneering work , performed independently , on the chemistry of the organometallic , so called sandwich compounds"
1979,Abdus Salam ( shared with Sheldon Lee Glashow and Steven Weinberg ),"Professor of Theoretical Physics , 1957-1996 ; Emeritus Professor , 1993 ; Fellow of Imperial College , 1994",Physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles , including , inter alia , the prediction of the weak neutral current"
