Spoofed Title,Actual Title,Writer,Artist,Issue,Date
Funny to Shrink the Kids,"Honey , I Shrunk the Kids ( June 1989 ) ( Genre : Comedy science fiction )",Dick DeBartolo,Mort Drucker,292,1990-01 January 1990
Legal Wreckin ' Too !,Lethal Weapon 2 ( July 1989 ) ( Genre : Buddy cop action comedy ),Dick DeBartolo,Jack Davis,293,1990-04 March 1990
Bleak for the Future Part II,Back to the Future Part II ( November 1989 ) ( Genre : Science fiction-adventure comedy ),Stan Hart,Mort Drucker,295,1990-06 June 1990
Look Who 's Squawking,Look Who 's Talking ( October 1989 ) ( Genre : Romantic comedy ),Dick DeBartolo,Angelo Torres,295,1990-06 June 1990
The Gore of the Roses,The War of the Roses ( December 1989 ) ( Genre : Dark comedy ),Dick DeBartolo,Mort Drucker,296,1990-07 July 1990
The Hunt For Last October,The Hunt For Red October ( March 1990 ) ( Genre : Espionage thriller ),Stan Hart,Angelo Torres,297,1990-09 September 1990
Grimlins PTU ! : The New Botch,Gremlins 2 : The New Batch ( June 1990 ) ( Genre : Comedy horror ),Stan Hart,Mort Drucker,298,1990-10 October 1990
RoboCrap 2,RoboCop 2 ( June 1990 ) ( Genre : Cyberpunk action-superhero ),Stan Hart,Angelo Torres,298,1990-10 October 1990
Teen Rage Moolah Nitwit Turtles,Teenage Mutant Ninja Turtles ( March 1990 ) ( Genre : Superhero science fiction action comedy ),Dick DeBartolo,Sam Viviano,298,1990-10 October 1990
Totally Recalled,Total Recall ( June 1990 ) ( Genre : Science-fiction action ),Dick DeBartolo,Mort Drucker,299,1990-12 December 1990
Casabonkers,Casablanca ( November 1942 ) ( Genre : Romantic drama ),Arnie Kogen,Mort Drucker,300,1991-01 January 1991
Schtick Tracy,Dick Tracy ( June 1990 ) ( Genre : Action comedy ),Dick DeBartolo,Angelo Torres,300,1991-01 January 1991
Groan with the Wind,Gone with the Wind ( December 1939 ) ( Genre : Epic historical romance ),Stan Hart,Jack Davis,300,1991-01 January 1991
The Wizard of Odds,The Wizard of Oz ( August 1939 ) ( Genre : Musical fantasy ),Frank Jacobs,Sam Viviano,300,1991-01 January 1991
Gauche,Ghost ( July 1990 ) ( Genre : Romantic fantasy thriller ),Stan Hart,Angelo Torres,301,1991-03 March 1991
A Knack For Phobias,Arachnophobia ( July 1990 ) ( Genre : Horror-comedy ),Dick DeBartolo,"Paul Coker , Jr",301,1991-03 March 1991
Die Even Harder 2,Die Hard 2 ( July 1990 ) ( Genre : Action ),Stan Hart,Mort Drucker,302,1991-06 April 1991
Slutty Woman,Pretty Woman ( March 1990 ) ( Genre : Romantic comedy ),Stan Hart,Mort Drucker,302,1991-06 April 1991
Days of Blunder,Days of Thunder ( June 1990 ) ( Genre : Sports action drama ),Stan Hart,Mort Drucker,302,1991-06 April 1991
Flopliners,Flatliners ( July 1990 ) ( Genre : Science fiction psychological horror ),Stan Hart,Mort Drucker,302,1991-06 April 1991
