Rank,Country,Team,Time
1,Kenya,John Nzau Mwangangi Pius Maiyo Kirop Stephen Kosgei Kibet,3:03:52
2,Eritrea,Zersenay Tadese Tewelde Estifanos Kiflom Sium,3:04:41
3,Ethiopia,Deressa Chimsa Belay Assefa Habtamu Assefa,3:05:43
4,United States,Augustus Maiyo Luke Puskedra Ian Burrell,3:09:56
5,Uganda,Jackson Kiprop Nathan Ayeko Solomon Mutai,3:10:20
6,Rwanda,Robert Kajuga Cyriaque Ndayikengurukiye Jean Marie Uwajeneza,3:12:34
7,South Africa,Stephen Mokoka Gladwin Mzazi Modike Lucky Mohale,3:13:09
8,France,Jean Damascéne Habarurema James Kibocha Theuri Benjamin Malaty,3:13:49
9,Japan,Yuki Kawauchi Tsuyoshi Ugachi Naoki Okamoto,3:14:33
10,Australia,Liam Adams Harry Summers Clinton Perrett,3:15:52
11,Mexico,Carlos Cordero Oscar Cerón Daniel Vargas,3:24:34
12,Denmark,Abdi Hakin Ulad Johan Damkjaer Peter Bech,3:25:07
13,Bulgaria,Yolo Nikolov Dimcho Mitsov Shaban Mustafa,3:31:45
