Team,Qualified as,Qualified on,Previous appearances in tournament
England,Host,5 May 1992,"4 ( 1968 , 1980 , 1988 , 1992 )"
Spain,Group 2 winner,11 October 1995,"4 ( 1964 , 1980 , 1984 , 1988 )"
Russia,Group 8 winner,11 October 1995,"6 ( 1960 , 1964 , 1968 , 1972 , 1988 , 1992 )"
Switzerland,Group 3 winner,15 November 1995,0 ( debut )
Croatia,Group 4 winner,15 November 1995,0 ( debut )
Scotland,4th best runner-up,15 November 1995,1 ( 1992 )
Bulgaria,2nd best runner-up,15 November 1995,0 ( debut )
Germany,Group 7 winner,15 November 1995,"6 ( 1972 , 1976 , 1980 , 1984 , 1988 , 1992 )"
Romania,Group 1 winner,15 November 1995,1 ( 1984 )
Turkey,3rd best runner-up,15 November 1995,0 ( debut )
Denmark,5th best runner-up,15 November 1995,"4 ( 1964 , 1984 , 1988 , 1992 )"
Czech Republic,Group 5 winner,15 November 1995,"3 ( 1960 , 1976 , 1980 )"
Italy,1st best runner-up,15 November 1995,"3 ( 1968 , 1980 , 1988 )"
France,6th best runner-up,15 November 1995,"3 ( 1960 , 1984 , 1992 )"
Portugal,Group 6 winner,15 November 1995,1 ( 1984 )
Netherlands,Play-off winner,13 December 1995,"4 ( 1976 , 1980 , 1988 , 1992 )"
