Event,Time,Name,Club,Date,Location
50y freestyle,21.12,Abbey Weitzeil,Canyon,"March 5 , 2016","Austin , United States"
100y freestyle,46.47,Abbey Weitzeil,Canyon,"March 6 , 2016","Austin , United States"
200y freestyle,1:41.17,Mallory Comerford,Louisville Cardinals,"December 1 , 2017","Columbus , United States"
500y freestyle,4:29.54,Katie Ledecky,Nation 's Capital,"December 4 , 2014","Greensboro , United States"
1650y freestyle,15:13.30,Katie Ledecky,Nation 's Capital,"December 6 , 2014","Greensboro , United States"
100y backstroke,50.64,Natalie Coughlin,Cal Aquatics,"November 30 , 2007","Atlanta , Georgia , United States"
200y backstroke,1:49.18,Missy Franklin,Colorado Stars,"December 1 , 2012","Austin , United States"
100y breaststroke,57.62,Alia Atkinson,South Florida,"December 6 , 2013","Knoxville , United States"
200y breaststroke,2:05.04,Laura Sogar,University of Texas,"December 1 , 2012","Austin , United States"
100y butterfly,49.87,Kelsi Worrell,Louisville Cardinals,"December 1 , 2017","Columbus , United States"
200y butterfly,1:51.02,Katinka Hosszú,USC Trojans,"December 4 , 2010","Columbus , Ohio , United States"
200y individual medley,1:52.63,Melanie Margalis,Florida Swimming,"November 30 , 2017","Columbus , United States"
400y individual medley,4:00.03,Katinka Hosszú,USC Trojans,"December 3 , 2010","Columbus , Ohio , United States"
4×50y freestyle relay,1:27.19,( 21.88 ) Madison Kennedy ( 21.72 ) Kelsi Hall ( 22.04 ) Katie Meili ( 21.55 ) Arianna Vanderpool-Wallace,SwimMAC Carolina,"December 5 , 2013","Knoxville , United States"
4×100y freestyle relay,3:12.15,( 49.10 ) Lainey Visscher ( 46.50 ) Mallory Comerford ( 48.23 ) Arina Openysheva ( 48.32 ) Casey Fanz,Louisville Cardinals,"December 2 , 2017","Columbus , United States"
4×200y freestyle relay,6:59.11,( 1:42.93 ) Missy Franklin ( 1:45.33 ) Caroline Piehl ( 1:46.30 ) Camille Cheng ( 1:44.55 ) Elizabeth Pelton,California Golden Bears,"December 6 , 2013","Knoxville , United States"
4×50y medley relay,1:36.46,( 24.57 ) Lauren Smart ( 26.79 ) Ellyn Baumgardner ( 23.67 ) Megan Lafferty ( 21.43 ) Margo Geer,Arizona Wildcats,"November 30 , 2012","Austin , United States"
4×100y medley relay,3:29.91,( 51.27 ) Elizabeth Pelton ( 59.58 ) Marina Garcia Urzainqui ( 51.55 ) Rachel Bootsma ( 47.51 ) Missy Franklin,California Golden Bears,"December 5 , 2013","Knoxville , United States"
