Name,Country,Event,Date of violation,Banned substance ( s ) / Anti-doping rule violation,Sanction
Abdelhadi Labäli,Morocco,Middle distance,2012,Biological passport,2 years
Soumiya Labani,Morocco,"Long distance , cross country",2003,Nandrolone,2 years
Florent Lacasse,France,Middle distance,2007,Testosterone precursors,2 years
Amine Laâlou,Morocco,Middle distance,2012 2016,Furosemide EPO,2 years 8 years
Aziz Lahbabi,Morocco,Long distance,2011,Methylhexanamine,6 months
Laiyuan Gao,China,Long distance,2012,Anabolic steroids,2 years
Burger Lambrechts,South Africa,Shot put,2001,Stanozolol,2 years
Enrique Llanos,Puerto Rico,Hurdling,2008,Stanozolol,2 years
Elena Lashmanova,Russia,Race walking,2014,GW1516,2 years
Svetlana Laukhova,Russia,Hurdling,2001,,
Bola Gee Lawal,Nigeria,Sprinting,2010,Methandienone,2 years
Jeff Laynes,United States,Sprinting,2001,Stanozolol,2 years
Yuliya Leantsiuk,Belarus,Shot put,2008,Testosterone,2 years
Suzette Lee,Jamaica,Triple jump,2005,Salbutamol,Public warning
Mikhail Lemaev,Russia,Marathon,2009,Biological passport,2 years
Assunta Legnante,Italy,Shot put,2000,,Public warning
Asmae Leghzaoui,Morocco,Middle distance,2003,EPO,2 years
Aleksey Lesnichiy,Belarus,High jump,2004,Clenbuterol,2 years
Mikołaj Lewański,Poland,Sprinting,2007,Cannabis,Public warning
Carl Lewis,United States,"Sprinting , long jump",,"Pseudoephedrine , ephedrine , phenylpropanolamine ( inadvertent use )",
