Track,Song,Featuring,Album Artist,Album
1,Bitch Please,"Snoop Dogg , Nate Dogg",Snoop Dogg,No Limit Top Dogg
2,You Better Believe It !,King Tee,Xzibit,Likwit Rhymes
3,Down For The Count,"Rah Digga , Talib Kweli",Talib Kweli 's & Hi Tek,Reflection Eternal
4,Father Day,"Snoop Dogg , Kokane",,Likwit Rhymes titled U Can Count On Me
5,Killin ' It,Tha Alkaholiks,Tha Alkaholiks,Likwidation
6,Prime Time,"Tash , E-Swift , J-Ro , Phil Da Agony",Xzibit,Likwit Rhymes
7,Year 2000,,Xzibit,Likwit Rhymes
8,Likwit Rhyming,"Tony Touch , Tash , Defari",Xzibit,Likwit Rhymes
9,Westcoast Hip Hop,"Kurupt , Rosco , King Tee",Xzibit,Likwit Rhymes
10,Loose Cannons,Kurupt,Kurupt,Tha Streetz Iz a Mutha
11,Big Bang Theory,"Snoop Dogg , Tha Eastsidaz , Kurupt , CPO & Pinky",Snoop Dogg Presents Tha Eastsidaz,Tha Eastsidaz
12,My Writes,"De La Soul , Tha Alkaholiks",De La Soul,Art Official Intelligence : Mosaic Thump
13,Pop X,"Mack 10 , Techniec , Caviar , Pinky & Skoop",Mack 10,The Paper Route
14,The Wake Up Show,"Tha Mexakinz , Chino XL",Sway & King Tech,
15,Larger Than Life,"Phil da Agony , Montage One",,
16,Step Up,"Kurupt , Daz , Crooked I",Kurupt,Tha Streetz Iz a Mutha
17,Thunder & Lighting,Defari,Defari,Focused Daily
18,U Ca n't Fuck With Me,"Snoop Dogg , LL Cool J , Jayo Felony",LL Cool J,G.O.A.T . ( Greatest of All Time )
19,Bitch Please II,"Snoop Dogg , Nate Dogg , Eminem , Dr. Dre",Eminem,The Marshall Mathers LP
20,Up From Da Underground,"Ras Kass , Mad Lion , KRS-One",Xzibit,Likwit Rhymes
