#,Song,Artist,Country of Origin
1,One Crowded Hour,Augie March,Australia
2,"Black Fingernails , Red Wine",Eskimo Joe,Australia
3,The Hard Road,Hilltop Hoods,Australia
4,When You Were Young,The Killers,United States
5,I Do n't Feel Like Dancin ',Scissor Sisters,United States
6,Crazy,Gnarls Barkley,United States
7,Chasing Cars,Snow Patrol,United Kingdom
8,Hearts a Mess,Gotye,Australia
9,Starlight,Muse,United Kingdom
10,19-20-20,The Grates,Australia
11,"Come On , Come On",Little Birdy,Australia
12,Funky Tonight,John Butler Trio,Australia
13,Welcome to the Black Parade,My Chemical Romance,United States
14,Here It Goes Again,OK Go,United States
15,Smile,Lily Allen,United Kingdom
16,Young Folks,Peter Bjorn and John,Sweden
17,Science Is Golden,The Grates,Australia
18,Supermassive Black Hole,Muse,United Kingdom
19,"Kick , Push",Lupe Fiasco,United States
20,Fidelity,Regina Spektor,United States
