Week,Tournament,State/Country,Winner
Jan 24-27,Panama Movistar Championship,Panama,Scott Dunlap ( 2 )
Jan 31 - Feb 3,Mexico Open,Mexico,Jarrod Lyle ( 1 )
Feb 14-17,HSBC New Zealand PGA Championship,New Zealand,Darron Stiles ( * )
Feb 21-24,Moonah Classic,Australia,Ewan Porter ( 1 )
Mar 27-30,Chitimacha Louisiana Open,Louisiana,Gavin Coles ( 4 )
Apr 3-6,Livermore Valley Wine Country Championship,California,Aron Price ( 1 )
Apr 17-20,Athens Regional Foundation Classic,Georgia,Robert Damron ( 1 )
Apr 24-27,Henrico County Open,Virginia,Greg Chalmers ( 2 )
May 1-4,South Georgia Classic,Georgia,Bryan DeCorso ( 1 )
May 8-11,Fort Smith Classic,Arkansas,Colt Knost ( 1 )
May 15-18,BMW Charity Pro-Am,South Carolina North Carolina,David Mathis ( 1 )
May 22-25,Melwood Prince George 's County Open,Maryland,Jeff Klauk ( 2 )
May 29 - Jun 1,Bank of America Open,Illinois,Kris Blanks ( 1 )
Jun 5-8,Rex Hospital Open,North Carolina,Scott Gutschewski ( 2 )
Jun 19-22,Knoxville Open,Tennessee,Jarrod Lyle ( 2 )
Jun 26-29,Ford Wayne Gretzky Classic,Canada,Justin Hicks ( 1 )
Jul 10-13,Nationwide Tour Players Cup,West Virginia,Rick Price ( 2 )
Jul 17-20,Price Cutter Charity Championship,Missouri,Colt Knost ( 2 )
Jul 24-27,Nationwide Children 's Hospital Invitational,Ohio,Bill Lunde ( 1 )
Jul 31 - Aug 3,Cox Classic,Nebraska,Ryan Hietala ( 2 )
