Letters,Organization,Founding date,Founding university,Type
ΑΔΧ,Alpha Delta Chi,1925-00-00,"University of California , Los Angeles",Sorority
ΑΔΓ,Alpha Delta Gamma,1924-10-10,"Loyola University , Chicago",Fraternity
ΑΓΩ,Alpha Gamma Omega,1927-02-25,"University of California , Los Angeles",Fraternity
ΑΛΩ,Alpha Lambda Omega,1990-04-09,The University of Texas at Austin,Sorority
ΑΝΩ,Alpha Nu Omega,1988-11-03,Morgan State University,Fraternity and sorority
ΑΣΔ,Alpha Sigma Delta,1990-15-03,Oakwood University,Sorority
ΒΦΩ,Beta Phi Omega,1969,University of Cebu,Fraternity and sorority
ΒΣΨ,Beta Sigma Psi,1925-04-17,University of Illinois at Urbana-Champaign,Fraternity
ΒΥΧ,Beta Upsilon Chi,1985-00-00,The University of Texas,Fraternity
ΓΦΔ,Gamma Phi Delta,1988-03-21,University of Texas at Austin,Fraternity
ΓΨΛ,Gamma Psi Lambda,1999-10-21,Fort Valley State University,Fraternity
ΔΨΕ,Delta Psi Epsilon,1999-01-16,Oakwood University,Sorority
ΖΦΖ,Zeta Phi Zeta,,,Fraternity ( ZOE ) and sorority ( ZAO )
ΗΙΣ,Eta Iota Sigma,,,Sorority
ΚΥΧ,Kappa Upsilon Chi,1999-02-05,Texas Tech University,Fraternity
ΜΟΓ,Mu Omicron Gamma,2001-09-09,Old Dominion University,Fraternity
ΣΑΩ,Sigma Alpha Omega,1998-01-00,North Carolina State University,Sorority
ΣΦΛ,Sigma Phi Lambda,1988-11-14,University of Texas,Sorority
ΣΘΕ,Sigma Theta Epsilon,1949-00-00,University of Nebraska,Fraternity
ΦΒΧ,Phi Beta Chi,1978-03-26,University of Illinois,Sorority
