Season,Champion,Runner-up,Third Place
1995-96,Juventud Antoniana,Cipolletti,No Third-place awarded
1996-97,Almirante Brown ( A ) San Martín ( M ),No Second-place awarded,No Third-place awarded
1997-98,Gimnasia y Esgrima ( CdU ) Juventud Antoniana,No Second-place awarded,No Third-place awarded
1998-99,Independiente Rivadavia Racing ( C ),No Second-place awarded,No Third-place awarded
1999-00,General Paz Juniors,Huracán ( TA ),Ben Hur
2000-01,Huracán ( TA ),Gimnasia y Tiro,Juventud Alianza
2001-02,CAI,Ñuñorco,Ben Hur
2002-03,Tiro Federal,Racing ( C ),No Third-place awarded
2003-04,Racing ( C ),Atlético Tucumán,No Third-place awarded
2004-05,Ben Hur,Aldosivi,Luján ( C )
2005-06,Villa Mitre,San Martín ( T ),No Third-place awarded
2006-07,Independiente Rivadavia,Guillermo Brown,No Third-place awarded
2007-08,Atlético Tucumán,Racing ( C ),No Third-place awarded
2008-09,Boca Unidos,Patronato,No Third-place awarded
2009-10,Patronato,Santamarina,Cipolletti Unión ( S )
2010-11,Guillermo Brown,Desamparados,Sportivo Belgrano
2011-12,Douglas Haig,Crucero del Norte,Sportivo Belgrano
2012-13,Talleres ( C ),Sportivo Belgrano,Santamarina
2013-14,Santamarina,Guaraní Antonio Franco,Juventud Unida Universitario
