City,University,Faculty,Year founded,Website
Alghero,University of Sassari,Architecture,1562,http : //www.architettura.uniss.it
Ancona,Marche Polytechnic University,Engineering,1959,http : //www.univpm.it/Entra/Corso_di_laurea_magistrale_in_Ingegneria_edile-architettura_1/L/1
Bari,Politecnico di Bari,Architecture,1990,http : //www.poliba.it
Bologna,Università di Bologna,Architecture Aldo Rossi,1088,http : //www.arch.unibo.it
Brescia,University of Brescia,Engineering,1950,http : //www.unibs.it/didattica/corsi-di-laurea-triennale-e-magistrale/corsi-di-laurea-magistrale-ciclo-unico/ingegneria/ingegneria-edile-architettura
Cagliari,University of Cagliari,Architecture,1606,http : //architettura.unica.it
Camerino,University of Camerino,Architecture,1727,http : //www.unicam.it/
Enna,Kore University of Enna,Architecture,1995,http : //www.unikore.it/index.php ? option=com_content & task=blogcategory & id=103 & Itemid=1636
Ferrara,Università di Ferrara,Architecture,1391,http : //www.unife.it/facolta/architettura
Florence,University of Florence,Architecture,1321,http : //www.arch.unifi.it
Genoa,University of Genoa,Architecture,1481,http : //www.arch.unige.it
L'Aquila,University of L'Aquila,Engineering,1964,http : //www.ing.univaq.it/cdl/mostra_corso.php ? codice=I4A
Milan,Politecnico di Milano,Architecture,1863,http : //www.arch.polimi.it http : //www.arch2.polimi.it
Naples,University of Naples Federico II,Architecture,1224,http : //www.architettura.unina.it
Naples,Second University of Naples,Architecture,1991,http : //www.architettura.unina2.it
Padua,University of Padua,Engineering,1222,http : //www.ing.unipd.it/
Palermo,University of Palermo,Architecture,1806,https : //web.archive.org/web/20120415115112/http : //portale.unipa.it/dipartimenti/architettura/home/index_eng.html
Parma,University of Parma,Architecture,1502,https : //web.archive.org/web/20110121093406/http : //www.unipr.it/Facolta/architettura
Pavia,University of Pavia,Engineering,1361,http : //www-3.unipv.it/iea/
Pescara,D'Annunzio University of Chieti-Pescara,Architecture,1960,https : //web.archive.org/web/20090130032817/http : //portal.unich.it/unichieti/appmanager/federati/architettura
