Year,School,Site,MVP
2000,San Diego State,"Earl Wilson Stadium • Las Vegas , Nevada","Chad Redfern , San Diego State"
2001,BYU,"Tony Gwynn Stadium • San Diego , California","Nate Fernley , BYU"
2002,BYU,"Larry H. Miller Field • Provo , Utah","Doug Jackson , BYU"
2003,UNLV,"Isotopes Park • Albuquerque , New Mexico","Patrick Dobson , UNLV"
2004,UNLV,"Earl Wilson Stadium • Las Vegas , Nevada","Matt Luca , UNLV"
2005,UNLV,"Franklin Covey Field • Salt Lake City , Utah","Matt Wagner , UNLV"
2006,TCU,"Earl Wilson Stadium • Las Vegas , Nevada","Chad Huffman , TCU"
2007,TCU,"Earl Wilson Stadium • Las Vegas , Nevada","Austin Adams , TCU"
2008,TCU,"Lupton Stadium • Fort Worth , Texas","Clint Arnold , TCU"
2009,Utah,"Lupton Stadium • Fort Worth , Texas","Tyler Yagi , Utah"
2010,TCU,"Tony Gwynn Stadium • San Diego , California","Bryan Holaday , TCU"
2011,New Mexico,"Tony Gwynn Stadium • San Diego , California","D. J. Peterson , New Mexico"
2012,New Mexico,"Earl Wilson Stadium • Las Vegas , Nevada","Josh Melendez , New Mexico"
2013,San Diego State,"Pete Beiden Field • Fresno , California","Tyler France , San Diego State"
2014,San Diego State,"Earl Wilson Stadium • Las Vegas , Nevada","Brad Haynal , San Diego State"
2015,San Diego State,"William Peccole Park • Reno , Nevada",
2016,New Mexico,"Santa Ana Star Field • Albuquerque , New Mexico",
2017,San Diego State,"Falcon Baseball Field • Colorado Springs , Colorado",
2018,San Diego State,"Tony Gwynn Stadium • San Diego , California",
2019,Fresno State,"William Peccole Park • Reno , Nevada",
