Rank,Athlete,Nationality,Time
1,Zersenay Tadesse,Eritrea,59:56
2,Patrick Makau Musyoki,Kenya,1:01:54
3,Ahmed Hassan Abdullah,Qatar,1:01:57
4,Stephen Kipkoech Kibiwott,Kenya,1:01:58
5,Yusei Nakao,Japan,1:02:05
6,Dieudonné Disi,Rwanda,1:03:03
7,Abebe Dinkessa,Ethiopia,1:03:04
8,Marilson dos Santos,Brazil,1:03:14
9,Joseph Maregu,Kenya,1:03:32
10,Essa Ismail Rashed,Qatar,1:03:57
11,Sylvain Rukundo,Rwanda,1:04:02
12,Michael Tesfay,Eritrea,1:04:04
13,Eshetu Wondemu,Ethiopia,1:04:11
14,Raji Assefa,Ethiopia,1:04:32
15,Ignacio Cáceres,Spain,1:04:39
16,Michael Shelley,Australia,1:04:44
17,Pedro Mora,Venezuela,1:04:45
18,Dereje Tesfaye,Ethiopia,1:04:57
19,Ali Dawoud Sedam,Qatar,1:04:58
20,Giomar da Silva,Brazil,1:05:07
