Player,From,To,Fee ( £ ),Fee ( € ),Year
Kepa Arrizabalaga,Athletic Bilbao,Chelsea,£71m,€ 80m,2018
Alisson,Roma,Liverpool,£66.8m,€ 75m,2018
Gianluigi Buffon,Parma,Juventus,£33m,€ 51.646m,2001
Ederson,Benfica,Manchester City,£35m,€40m,2017
Jordan Pickford,Sunderland,Everton,£25m,,2017
Francesco Toldo,Fiorentina,Internazionale,,€28.405m,2001
Manuel Neuer,Schalke 04,Bayern Munich,£19m,€24m,2011
Bernd Leno,Bayer Leverkusen,Arsenal,£19.2m,€22m,2018
David de Gea,Atlético Madrid,Manchester United,£18m,€22m,2011
Angelo Peruzzi,Internazionale,Lazio,,€20.658m,2000
Sébastien Frey,Internazionale,Parma,,€20.658m,2001
Samir Handanović,Udinese,Internazionale,,€19m,2012
Claudio Bravo,Barcelona,Manchester City,,€18m,2016
Ivan Pelizzoli,Atalanta,Roma,,€17.043m,2001
Jan Oblak,Benfica,Atlético Madrid,£12.6m,€16m,2014
Angelo Peruzzi,Juventus,Internazionale,,€14.461m,1999
Petr Čech,Chelsea,Arsenal,£10m,€13.9m,2015
Fraser Forster,Celtic,Southampton,£10m,€12.5m,2014
Wojciech Szczęsny,Arsenal,Juventus,,€12.2m,2017
Marc-André ter Stegen,Borussia Mönchengladbach,Barcelona,£9.7m,€12m,2014
