Year,Champions,Score,Runner-Up,MVP,Venue
1976,Boise State,77-70,Weber State,"Jimmie Watts , Weber State","Wildcat Gym ( Ogden , Utah )"
1977,Idaho State,61-55,Weber State,"Ed Thompson , Idaho State","ISU Minidome ( Pocatello , Idaho )"
1978,Weber State,62-55,Montana,"Bruce Collins , Weber State","Adams Field House ( Missoula , Montana )"
1979,Weber State,92-70,Northern Arizona,"Bruce Collins , Weber State","Dee Events Center ( Ogden , Utah )"
1980,Weber State,50-42,Montana,"Bruce Collins , Weber State","Dee Events Center ( Ogden , Utah )"
1981,Idaho,70-64,Montana,"Ken Owens , Idaho","Kibbie Dome ( Moscow , Idaho )"
1982,Idaho,85-80,Nevada,"Ken Owens , Idaho","Kibbie Dome ( Moscow , Idaho )"
1983,Weber State,87-78,Nevada,"Ken Green , Nevada","Centennial Coliseum ( Reno , Nevada )"
1984,Nevada,71-69,Montana,"Curtis High , Nevada","Dee Events Center ( Ogden , Utah )"
1985,Nevada,79-63,Idaho State,"Dwayne Randall , Nevada","BSU Pavilion ( Boise , Idaho )"
1986,Montana State,82-77,Montana,"Tony Hampton , Montana State","Lawlor Events Center ( Reno , Nevada )"
1987,Idaho State,92-81,Nevada,"Jim Rhode , Idaho State","Walkup Skydome ( Flagstaff , Arizona )"
1988,Boise State,63-61,Montana State,"Chris Childs , Boise State","Brick Breeden Fieldhouse ( Bozeman , Montana )"
1989,Idaho,59-52,Boise State,"Riley Smith , Idaho","BSU Pavilion ( Boise , Idaho )"
1990,Idaho,65-62,Eastern Washington,"Riley Smith , Idaho","BSU Pavilion ( Boise , Idaho )"
1991,Montana,76-68,Idaho,"Kevin Kearney , Montana","Dahlberg Arena ( Missoula , Montana )"
1992,Montana,73-68,Nevada,"Delvon Anderson , Montana","Dahlberg Arena ( Missoula , Montana )"
1993,Boise State,80-68,Idaho,"Tanoka Beard , Boise State","Kibbie Dome ( Moscow , Idaho )"
1994,Boise State,85-81,Idaho State,"Shambric Williams , Boise State","BSU Pavilion ( Boise , Idaho )"
1995,Weber State,84-62,Montana,"Ruben Nembhard , Weber State","Dee Events Center ( Ogden , Utah )"
