Issue date,Cover subject,Cover type
1/2/ 2012,Winter Preview,Photo montage
1/9/2012,"Ryan Seacrest , Jennifer Lopez , Steven Tyler , and Randy Jackson of American Idol",Photograph
1/16/2012,"Naya Rivera , Lea Michele , Chris Colfer , and Darren Criss of Glee",Photograph
1/23/2012,"The 200th episode of NCIS ( 3 covers ) * Mark Harmon and Rocky Carroll * Michael Weatherly , Cote de Pablo , and Sean Murray * Brian Dietzen , Pauley Perrette , and David McCallum",Photograph
2/6/2012,"* Dan Stevens and Michelle Dockery of Downton Abbey ( newsstand cover ) * Katharine McPhee , Jack Davenport , and Debra Messing of Smash ( subscriber cover )",Photograph
2/20/2012,"Emily VanCamp , Joshua Bowman , and Madeline Stowe of Revenge",Photograph
3/5/2012,Kiefer Sutherland of Touch,Photograph
3/12/2012,"Ginnifer Goodwin , Jennifer Morrison , and Josh Dallas of Once Upon a Time",Photograph
3/19/2012,"Christina Hendricks , Jon Hamm , John Slattery , and Elisabeth Moss of Mad Men",Photo illustration
4/2/2012,"Nikolaj Coster-Waldau , Peter Dinklage , and Kit Harington of Game of Thrones",Photograph
4/8/2012,David Boreanaz and Emily Deschanel of Bones,Photograph
4/16/2012,"Fan Favorites poll results , featuring John Noble , Anna Torv and Joshua Jackson of Fringe ( Favorite Drama ) ; Joel McHale , Donald Glover and Danny Pudi of Community ( Comedy ) ; Christina Aguilera and Adam Levine of The Voice ( Singing Competition ) ; Lana Parrilla ( Favorite Villain ) of Once Upon a Time ( New Show ) ; and Jared Padalecki and Jensen Ackles of Supernatural ( Horror )",Photo montage
4/30/2012,Chris O'Donnell and LL Cool J of NCIS : Los Angeles,Photograph
5/7/2012,"Finale Preview , featuring Felicity Huffman , Eva Longoria , Teri Hatcher , and Marcia Cross of Desperate Housewives",Photograph
5/21/2012,"Hugh Laurie of House , on the week of the series ' finale",Photo illustration
5/28/2012,Anna Paquin and Christopher Meloni of True Blood,Photograph
6/4/2012,Burning [ Season Finale ] Questions Answered !,Photo montage
6/11/2012,"The return of Dallas ( 2 covers ) * Jordana Brewster , Josh Henderson , Linda Gray , and Larry Hagman * Brenda Strong , Patrick Duffy , Julie Gonzalo , and Jesse Metcalfe",Photograph
6/18/2012,"Michael Ealy of Common Law , Patrick J. Adams of Suits , and Matthew Bomer of White Collar",Photograph
7/2/2012,Kyra Sedgwick of The Closer,Photograph
