Team,Titles,Years won
Banfield,3,"1992-93 , 2000-01 , 2013-14"
Olimpo,3,"2001-02 , 2006-07 , 2009-10"
Huracán,2,"1989-90 , 1999-00"
Argentinos Juniors,2,"1996-97 , 2016-17"
Talleres ( C ),2,"1997-98 , 2016"
Instituto ( C ),2,"1998-99 , 2003-04"
Atlético de Rafaela,2,"2002-03 , 2010-11"
Atlético Tucumán,2,"2008-09 , 2015"
Deportivo Armenio,1,1986-87
Deportivo Mandiyú,1,1987-88
Chaco For Ever,1,1988-89
Quilmes,1,1990-91
Lanús,1,1991-92
Gimnasia y Esgrima ( J ),1,1993-94
Estudiantes ( LP ),1,1994-95
Huracán ( C ),1,1995-96
Tiro Federal ( R ),1,2004-05
Godoy Cruz,1,2005-06
San Martín ( T ),1,2007-08
River Plate,1,2011-12
