Call letters,Channel,Network ( s ),City and state,Meaning or notes
KYAZ,25 PSIP 51,51.1 Azteca America,"Katy , Texas",AZ teca
KYES-TV,7 PSIP 5,MyNetworkTV,"Anchorage , Alaska",
KYIN,18 PSIP 24,PBS,"Mason City , Iowa",
KYLE-TV,28 PSIP 28,Fox / MyNetworkTV,"Bryan , Texas","Simulcasts KWKT-TV Waco , Texas"
KYMA-DT,13 PSIP 13,13.1 CBS,"Yuma , Arizona","Y u m a , A rizona or Y u ma"
KYNE-TV,17 PSIP 26,PBS,"Omaha , Nebraska",
KYOU-TV,15 PSIP 15,Fox,"Ottumwa , Iowa",YOU are watching KYOU
KYTV,19 PSIP 3,3.1 NBC,"Springfield , Missouri",Y our T ele V ision
KYTX,15 PSIP 19,19.1 CBS 19.2 The CW,"Nacogdoches , Texas",Digital subchannel 19.2 is branded as MYTX : My Texas TV
KYUR,12 PSIP 13,13.1 ABC 13.2 KWBX-DT,"Anchorage , Alaska",
KYUS-TV,3 PSIP/cable 3,NBC,"Miles City , Montana","Rebroadcasts KULR Billings , Montana"
KYVE,21 PSIP 47,PBS,"Yakima , Washington",Rebroadcasts KCTS Seattle
KYVV-TV,28 PSIP 10,MundoFox,"Del Rio , Texas",Formerly KTRG 10
KYW-TV,26 PSIP/cable 3,3.1 CBS 3.2CBSPhillyPlus,"Philadelphia , Pennsylvania",K now Y our W orld
