Date,Sport,Venue/Event,Status,Winner/s
26 December 2014-6,Ice hockey,2015 World Junior Ice Hockey Championship,International,Canada
28 December 2014-6,Ski jumping,/ 2014-15 Four Hills Tournament,Continental,Stefan Kraft
1,Ice hockey,2015 NHL Winter Classic,Domestic,Washington Capitals
3-11,Cross-country skiing,/ / 2015 Tour de Ski,Continental,Men : Martin Johnsrud Sundby Women : Marit Bjørgen
4-10,Ice hockey,2015 IIHF World Women 's U18 Championship - Division I,International,France is promoted to Top Division Austria is relegated to Division I Qualification
4-10,Tennis,2015 Hopman Cup,International,Poland
4-17,Rallying,/ / 2015 Dakar Rally,International,Bikes : Marc Coma ( KTM ) Quads : Rafał Sonik ( Yamaha ) Cars : Nasser Al-Attiyah / Matthieu Baumel ( Mini ) Trucks : Ayrat Mardeev / Aydar Belyaev / Dmitriy Svistunov ( Kamaz )
5-12,Ice hockey,2015 IIHF World Women 's U18 Championship,International,United States
8-12,Table tennis,2015 World Team Cup,International,Men : China Women : China
9-24,Association football,2015 CONCACAF U-20 Championship,Continental,Mexico
9-31,Association football,2015 AFC Asian Cup,Continental,Australia
10-11,Speed skating,2015 European Speed Skating Championships,Continental,Men : Sven Kramer Women : Ireen Wüst
11-18,Snooker,2015 Masters,International,Shaun Murphy
12,American football,2015 College Football Playoff National Championship,Domestic,Ohio State Buckeyes
13-26,Association football,2015 OFC U-17 Championship,Continental,New Zealand
14-7 February,Association football,2015 South American Youth Football Championship,Continental,Argentina
15-25,Freestyle skiing & Snowboarding,FIS Freestyle Ski and Snowboarding World Championships 2015,International,Freestyle Ski : Canada Snowboarding : United States Overall : United States
15-1 February,Handball,2015 World Men 's Handball Championship,International,France
16-17,Luge,2015 FIL Junior World Luge Championships,International,"Men : Roman Repilov Women : Jessica Tiebel Men 's Doubles : Florian Loeffler / Manuel Stiebing Team Relay : Ulla Zirne , Kristers Aparjods , and Kristens Putins & Karlis Kriss Matuzels"
17-8 February,Association football,2015 Africa Cup of Nations,Continental,Ivory Coast
