Pos,No,Driver,Constructor,Lap,Gap
1,1,Mika Häkkinen,McLaren - Mercedes,1:42.950,
2,8,Heinz-Harald Frentzen,Jordan - Mugen-Honda,1:43.000,+0.050
3,2,David Coulthard,McLaren - Mercedes,1:43.288,+0.338
4,3,Mika Salo,Ferrari,1:43.577,+0.627
5,4,Eddie Irvine,Ferrari,1:43.769,+0.819
6,16,Rubens Barrichello,Stewart - Ford,1:43.938,+0.988
7,18,Olivier Panis,Prost - Peugeot,1:43.979,+1.029
8,7,Damon Hill,Jordan - Mugen-Honda,1:44.001,+1.051
9,19,Jarno Trulli,Prost - Peugeot,1:44.209,+1.259
10,9,Giancarlo Fisichella,Benetton - Playlife,1:44.338,+1.388
11,6,Ralf Schumacher,Williams - Supertec,1:44.468,+1.518
12,22,Jacques Villeneuve,BAR - Supertec,1:44.508,+1.558
13,10,Alexander Wurz,Benetton - Playlife,1:44.522,+1.572
14,5,Alessandro Zanardi,Williams - Supertec,1:45.034,+2.084
15,21,Marc Gené,Minardi - Ford,1:45.331,+2.381
16,12,Pedro Diniz,Sauber - Petronas,1:45.335,+2.385
17,17,Johnny Herbert,Stewart - Ford,1:45.454,+2.504
18,23,Ricardo Zonta,BAR - Supertec,1:45.460,+2.510
19,20,Luca Badoer,Minardi - Ford,1:45.917,+2.967
20,14,Pedro de la Rosa,Arrows,1:45.935,+2.985
