Team,Home city,Home ground
Anorthosis Famagusta FC,Ayia Napa,Dimotiko Stadio Ayia Napa
Apollon Ladies F.C,Limassol,SEK Agiou Athanasiou
Apollon Lympion,Lympia,Stadium Apollon Lympion
Barcelona FA,Germasogeia,Koinotiko Gipedo Germasogeia
Football Academy of Ypsona Limassol Champions,Kolossi,Koinotiko Gipedo Kolossi
Amok Chrysomilia,Limassol,Dimotiko Stadio Kato polemidion Den xechno
Enosis Neon THOI Lakatamia,Lakatamia,THOI Lakatamia Stadium
Lefkothea Nicosia,Latsia,Dimotiko Stadio Latsia
Omonia Nicosia,Nicosia,THOI Lakatamia Stadium
Pafia,Paphos,Voithitiko AE Pafou
