Name,Height m ( ft ),Completed,Country,Location
High Roller,167.6 ( 550 ),2014,United States,"Las Vegas , Nevada"
Singapore Flyer,165 ( 541 ),2008,Singapore,"Marina Centre , Downtown Core"
Star of Nanchang,160 ( 525 ),2006,China,"Nanchang , Jiangxi"
London Eye,135 ( 443 ),2000,United Kingdom,"South Bank , Lambeth , London"
Sky Dream,126 ( 413 ),2017,Taiwan,"Lihpao Land , Taichung"
Redhorse Osaka Wheel,123 ( 404 ),2016,Japan,"Expocity , Suita , Osaka"
The Wheel at ICON Park Orlando,122 ( 400 ),2015,United States,"Orlando , Florida"
Suzhou Ferris Wheel,120 ( 394 ),2009,China,"Suzhou , Jiangsu"
Melbourne Star,120 ( 394 ),2008,Australia,"Docklands , Melbourne"
Tianjin Eye,120 ( 394 ),2008,China,"Yongle Bridge , Hongqiao , Tianjin"
Changsha Ferris Wheel,120 ( 394 ),2004,China,"Changsha , Hunan"
Zhengzhou Ferris Wheel,120 ( 394 ),2003,China,"Century Amusement Park , Henan"
Sky Dream Fukuoka,120 ( 394 ),2002,Japan,"Evergreen Marinoa , Fukuoka , Kyūshū"
Diamond and Flower Ferris Wheel,117 ( 384 ),2001,Japan,"Kasai Rinkai Park , Tokyo , Honshū"
Sun Wheel,115 ( 377 ),2014,Vietnam,Da Nang
Star of Lake Tai,115 ( 377 ),2008,China,"Lake Tai , Wuxi , Jiangsu"
Daikanransha,115 ( 377 ),1999,Japan,"Palette Town , Odaiba , Honshū"
Cosmo Clock 21 ( 2nd installation ),112.5 ( 369 ),1999,Japan,"Minato Mirai 21 , Yokohama , Honshū"
Tempozan Ferris Wheel,112.5 ( 369 ),1997,Japan,"Osaka , Honshū"
Harbin Ferris Wheel,110 ( 361 ),2003,China,"Harbin , Heilongjiang"
