Rank,Artist,Album,Peak position,Sales,Certification
1,Lady Gaga,Born This Way,1,"246,800",3x Platinum
2,The Black Keys,El Camino,3,"240,000",3x Platinum
3,LMFAO,Sorry for Party Rocking,2,"176,000",2x Platinum
4,Bad Meets Evil,Hell : The Sequel,1,"88,950",TBA
5,Bob Seger,Ultimate Hits : Rock and Roll Never Forgets,TBA,"80,000",Platinum
6,Britney Spears,Femme Fatale,1,"80,000",Platinum
7,Foo Fighters,Wasting Light,1,"80,000",Platinum
8,Foster the People,Torches,7,"80,000",Platinum
9,Jay-Z and Kanye West,Watch the Throne,1,"80,000",Platinum
10,Jennifer Lopez,Love ?,2,"80,000",Platinum
