No,Position,Player,Nation
1,Goalkeeper,Frederik Due,Denmark
2,Defender,Kevin Alston,United States
6,Defender,Michael Orozco,United States
11,Forward,Harry Forrester,England
12,Midfielder,Daniel Crisostomo,United States
13,Forward,Vinicius,Brazil
14,Midfielder,Aodhan Quinn,United States
16,Forward,Kevin Coleman,United States
17,Forward,Darwin Jones,United States
21,Midfielder,Francis Jacobs,United States
25,Goalkeeper,Aaron Cervantes,United States
27,Midfielder,Edson Alvarado,United States
33,Forward,Diego Lopez,United States
-,Midfielder,Seth Casiple,United States
-,Forward,Thomas Enevoldsen,Denmark
-,Defender,Danny Finlayson ( on loan from Rangers ),Northern Ireland
-,Defender,Rob Kiernan,Ireland
-,Defender,Blake Malone,United States
-,Midfielder,Cammy Palmer ( on loan from Rangers ),Northern Ireland
-,Defender,Matthew Shiels ( on loan from Rangers ),Scotland
