#,Artist,Artist 's nationality,Title
1,Lil Nas X,United States,Old Town Road
2,Tones and I,Australia,Dance Monkey
3,Apache 207,Germany,Roller
4,Juju featuring Henning May,Germany,Vermissen
5,Ava Max,United States,Sweet but Psycho
6,Billie Eilish,United States,Bad Guy
7,Shawn Mendes and Camila Cabello,Canada Cuba,Señorita
8,Ed Sheeran and Justin Bieber,United Kingdom Canada,I Do n't Care
9,Capital Bra and Samra,Germany,Tilidin
10,Samra and Capital Bra,Germany,Wieder Lila
11,Daddy Yankee featuring Snow,Puerto Rico Canada,Con Calma
12,Lewis Capaldi,United Kingdom,Someone You Loved
13,Meduza and Goodboys,Italy United Kingdom,Piece of Your Heart
14,"Capital Bra , Samra and Lea",Germany,110
15,Sarah Connor,Germany,Vincent
16,Lady Gaga and Bradley Cooper,United States,Shallow
17,Bonez MC & RAF Camora,Germany,500 PS
18,Mabel,United Kingdom,Do n't Call Me Up
19,Dynoro and Gigi D'Agostino,Lithuania Italy,In My Mind
20,Rammstein,Germany,Deutschland
