Seasons since win,Team,Last series win in NBA Playoffs,Losing streak,Series losses - teams
15,Charlotte Hornets,2002 Eastern First Round,4 ♦,2002 New Jersey Nets 2010 Orlando 2014 Miami 2016 Miami
15,Sacramento Kings,2004 Western First Round,3,2004 Minnesota 2005 Seattle 2006 San Antonio
15,Minnesota Timberwolves,2004 Western Semifinals,2,2004 Los Angeles Lakers 2018 Houston
11,Detroit Pistons,2008 Eastern Semifinals,4,2008 Boston 2009 Cleveland 2016 Cleveland 2019 Milwaukee
9,Orlando Magic,2010 Eastern Semifinals,4,2010 Boston 2011 Atlanta 2012 Indiana 2019 Toronto
9,Phoenix Suns,2010 Western Semifinals,1,2010 Los Angeles Lakers
8,Dallas Mavericks,2011 Finals,4 ♦,2012 Oklahoma City 2014 San Antonio 2015 Houston 2016 Oklahoma City
7,Los Angeles Lakers,2012 Western First Round,2,2012 Oklahoma City 2013 San Antonio
6,New York Knicks,2013 Eastern First Round,1,2013 Indiana
5,Brooklyn Nets,2014 Eastern First Round,3,2014 Miami 2015 Atlanta 2019 Philadelphia
5,Indiana Pacers,2014 Eastern Semifinals,5,2014 Miami 2016 Toronto 2017 Cleveland 2018 Cleveland 2019 Boston
4,Chicago Bulls,2015 Eastern First Round,2,2015 Cleveland 2017 Boston
4,Memphis Grizzlies,2015 Western First Round,2,2015 Golden State 2016 San Antonio Spurs 2017 San Antonio Spurs
4,Los Angeles Clippers,2015 Western First Round,4 §,2015 Houston 2016 Portland 2017 Utah 2019 Golden State
3,Atlanta Hawks,2016 Eastern First Round,2,2016 Cleveland 2017 Washington
3,Miami Heat,2016 Eastern First Round,2,2016 Toronto 2018 Philadelphia
3,Oklahoma City Thunder,2016 Western Semifinals,4 ♦,2016 Golden State 2017 Houston 2018 Utah 2019 Portland
2,Washington Wizards,2017 Eastern First Round,2,2017 Boston 2018 Toronto
2,San Antonio Spurs,2017 Western Semifinals,3,2017 Golden State 2018 Golden State 2019 Denver
1,New Orleans Pelicans,2018 Western First Round,1,2018 Golden State
