Club,Location,Venue,Capacity
Albi,Albi,Stade Maurice-Rigaud,"3,000"
Guingamp,Saint-Brieuc,Stade Fred-Aubert,"13,500"
Juvisy,Bondoufle,Stade Robert-Bobin,"18,850"
La Roche-sur-Yon,La Roche-sur-Yon,Stade Henri-Desgranges,"10,000"
Nîmes Métropole Gard,Nîmes,Stade des Costières,"18,482"
Lyon,Lyon,Plaine des Jeux de Gerland,"2,200"
Montpellier,Montpellier,Stade de Grammont,"1,000"
Paris Saint-Germain,Paris,Stade Charléty,"20,000"
Rodez,Rodez,Stade Paul-Lignon,"5,955"
Saint-Étienne,Feurs,Stade Maurice-Rousson,"2,800"
Soyaux,Soyaux,Stade Léo-Lagrange,"4,800"
VGA Saint-Maur,Bonneuil-sur-Marne,Stade Adolphe-Chéron,"3,500"
