Medal,Name,Sport,Event
Gold,Marie-Amélie Le Fur,Athletics,Women 's 100m T44
Gold,Mandy François-Elie,Athletics,Women 's 100m T37
Gold,Assia El Hannouni,Athletics,Women 's 200m T12
Gold,Assia El Hannouni,Athletics,Women 's 400m T12
Gold,Souhad Ghazouani,Powerlifting,Women 's 67.5kg
Gold,Cedric Fevre-Chevalier,Shooting,Mixed 10 m air rifle prone SH1
Gold,Charles Rozoy,Swimming,Men 's 100m butterfly S8
Gold,Élodie Lorandi,Swimming,Women 's 400m freestyle S10
Silver,Arnaud Assoumani,Athletics,Men 's long jump F46
Silver,Arnaud Assoumani,Athletics,Men 's triple jump F46
Silver,Tony Falelavaki,Athletics,Men 's javelin throw F44
Silver,Marie-Amelie le Fur,Athletics,Women 's 200m T44
Silver,Nathalie Benoit,Rowing,Women 's single sculls
Silver,Perle Bouge Stephane Tardieu,Rowing,Mixed double sculls
Silver,Raphael Voltz,Shooting,Mixed 10 m air rifle prone SH2
Silver,David Smetanine,Swimming,Men 's 50m freestyle S4
Silver,David Smetanine,Swimming,Men 's 200m freestyle S4
Silver,Élodie Lorandi,Swimming,Women 's 100m freestyle S10
Silver,Jean-Francois Ducay,Table tennis,Men 's individual - Class 1
Silver,Thu Kamkasomphou,Table tennis,Women 's individual - Class 8
