Original NFL team,Player,Pos,College,Conf
Atlanta Falcons,Nate Wright,CB,San Diego State,Ind
Buffalo Bills,Robert James,CB,Fisk,SIAC
Buffalo Bills,Angelo Loukas,G,Northwestern,Big Ten
Cincinnati Bengals,Bruce Coslet,TE,Pacific,Ind . ( Univ . )
Cincinnati Bengals,Horst Muhlmann,K,,
Dallas Cowboys,Otto Brown,DB,Prairie View A & M,SWAC
Dallas Cowboys,Reggie Rucker,WR,Boston,Ind . ( Coll . )
Denver Broncos,George Burrell,S,Penn,Ivy
Denver Broncos,Ken Criter,LB,Wisconsin,Big Ten
Detroit Lions,Larry Watkins,RB,Alcorn State,SWAC
Houston Oilers,Paul Zaeske,WR,North Park,CCIW
New England Patriots,Ron Berger,DT / DE,Wayne State,Ind . ( Coll . )
New Orleans Saints,Tom Dempsey,K,Palomar,N/A
New Orleans Saints,Steve Preece,CB,Oregon State,Pac-8
Pittsburgh Steelers,Bob Adams,TE,Pacific,Ind . ( Univ . )
Pittsburgh Steelers,Ed O'Neill,DE,Youngstown State,Ind . ( Coll . )
San Francisco 49ers,Wayne Moore,OT,Lamar,Southland
Washington Redskins,Curt Knight,K,Texas,SWC
Washington Redskins,Ted Vactor,S,Nebraska,Big Eight
