Year,Title,Role
2003,Melvin Goes to Dinner,Extra
2006,Unaccompanied Minors,Carole Malone
2006,The Enigma with a Stigma,Tux Shop Employee
2007,Knocked Up,Jill
2007,Meet Bill,Jane Whitman
2007,The Brothers Solomon,Janine
2007,Walk Hard : The Dewey Cox Story,Edith Cox
2008,Semi-Pro,Bear Handler
2008,Forgetting Sarah Marshall,Yoga Instructor
2008,Pretty Bird,Mandy
2008,Ghost Town,Surgeon
2009,Adventureland,Paulette
2009,Ice Age : Dawn of the Dinosaurs,Pudgy Beaver Mom
2009,Whip It,Maggie Mayhem
2009,Extract,Suzie Reynolds
2010,How to Train Your Dragon,Ruffnut Thorston
2010,Date Night,Haley Sullivan
2010,MacGruber,Vicki St. Elmo
2010,Despicable Me,Miss Hattie
2010,All Good Things,Lauren Fleck
