Dance,Highest scored dancer ( s ),Highest score,Lowest scored dancer ( s ),Lowest score
Cha-cha-cha,Nicole Scherzinger,29,Buzz Aldrin,14
Viennese Waltz,Evan Lysacek,28,Kate Gosselin,16
Jive,Nicole Scherzinger,30,Kate Gosselin,15
Foxtrot,Evan Lysacek Nicole Scherzinger,29,Buzz Aldrin,12
Paso doble,Evan Lysacek Nicole Scherzinger,30,Kate Gosselin,15
Waltz,Evan Lysacek Chad Ochocinco Nicole Scherzinger,27,Buzz Aldrin,13
Quickstep,Evan Lysacek,28,Chad Ochocinco,18
Rumba,Nicole Scherzinger,28,Aiden Turner,15
Tango,Nicole Scherzinger,29,Kate Gosselin,14
Samba,Erin Andrews,29,Evan Lysacek Jake Pavelka,21
Argentine tango,Evan Lysacek Nicole Scherzinger,30,Niecy Nash,21
Freestyle,Nicole Scherzinger,27,Evan Lysacek,24
