Title,Year,Director,Country,Genre,Cast
An Adventuress,1920,Fred J. Balshofer,United States,Drama,
Manslaughter,1922,Cecil B. DeMille,United States,Drama,"Leatrice Joy , Thomas Meighan , Lois Wilson , John Miltern , George Fawcett , Julia Faye , Edythe Chapman , Jack Mower , Dorothy Cumming , Casson Ferguson , Mickey Moore , James Neill , Sylvia Ashton , Raymond Hatton , Mabel Van Buren , Ethel Wales , Dale Fuller , Edward Martindel"
Salomé,1923,Charles Bryant,United States,"Biography , drama","Alla Nazimova , Michael Lewis , Rose Dione , Earl Schenck , Arthur Jasmine , Nigel De Brulier , Frederick Peters , Louis Dumar"
Ponjola,1923,Donald Crisp,United States,Drama,"Anna Q. Nilsson , James Kirkwood , Tully Marshall , Joseph Kilgour , Bernard Randall , Ruth Clifford , Claire Du Brey , Claire McDowell , Charles Ray , Eddie Sturgis ( credited as Edwin Sturges )"
The Soilers,1923,Ralph Ceder,United States,"Short , comedy","Stan Laurel , Ena Gregory , Mae Laurel , James Finlayson , Billy Engle , Eddie Baker"
Leblebici Horhor,1923,Muhsin Ertuğrul,Turkey,"Comedy , musical",
Augusto Anibal quer casar,1923,Luiz de Barros,Brazil,Comedy,
Michael,1924,Carl Theodor Dreyer,Germany,Drama,"Walter Slezak , Benjamin Christensen , Nora Gregor , Robert Garrison , Max Auzinger , Didier Aslan , Alexander Murski , Grete Mosheim , Karl Freund"
Beverly of Graustark,1926,Sidney Franklin,United States,"Comedy , romance","Marion Davies , Antonio Moreno , Creighton Hale , Roy D'Arcy , Albert Gran , Paulette Duval , Max Barwyn , Charles Clary"
Why Girls Love Sailors,1927,Fred Guiol,United States,"Short , comedy","Stan Laurel , Oliver Hardy , Viola Richard , Anita Garvin , Malcolm Waite"
A Wanderer of the West,1927,"Robin Williamson , Joseph E. Zivelli",United States,Western,
Gesetze der Liebe,1927,"Magnus Hirschfeld , Richard Oswald",Germany,Documentary,
Beggars of Life,1928,William A. Wellman,United States,"Adventure , drama","Wallace Beery , Louise Brooks , Richard Arlen , Bob Perry , Blue Washington , Roscoe Karns"
Sex in Chains,1928,William Dieterle,Germany,Drama,"William Dieterle , Gunnar Tolnæs , Mary Johnson , Paul Henckels , Hans Heinrich von Twardowski"
Pandora 's Box,1929,Georg Wilhelm Pabst,Germany,"Crime , drama","Louise Brooks , Fritz Kortner , Francis Lederer"
That 's My Wife,1929,Lloyd French,United States,"Short , comedy","Stan Laurel , Oliver Hardy"
