Name,Class year ( s ),Notability
Radhika Ramana Dasa,1999,Professor at The College of William & Mary and Bhaktivedanta College
Ben Jayne,1948,Former Dean of Duke 's School of Forestry ; professor at Yale and the University of Washington
Keith Bishop,1982,Cellular immunologist specializing in organ transplants at the University of Michigan School of Medicine
Michael Adcox,1981,Medical director of the Saint Alphonsus Nephrology Center
Gary L. Bennett,1960,"Former manager at NASA ; worked on the Voyager 1 , Voyager 2 , and New Horizons missions"
Paul Courtright,1978,Renowned epidemiologist fighting leprosy and ocular diseases in Africa ; clinic director at Tumaini University
Gary Green,1968,Award-winning conductor ; Music Department chairman at the University of Miami
Merle Wells,1939,Founder of the Idaho State Archives ; the Wells State Archives Building was named in his honor
Diane Haddock Russell,1961,Former department chair at the University of Arizona College of Medicine ; pioneer in cell growth research
Marvin Bryant,1947,Former bacteriologist at the University of Illinois ; inducted into the National Academy of the Sciences
Jay Luo,1982,Former professor at Johns Hopkins University ; graduated with a B.S . in math at the age of 12
Nathan Stark,2000,Director of Bands and Associate Professor of Music at Montana State University
Elena Gallina,2018,"Truman scholar , international development scholar and activist"
Justin W. Vance,2000,"Dean , School of Arts and Humanities at College of Western Idaho . Formally Founding Dean of College of Extended and Interdisciplinary Education and Associate Professor of History at Hawaii Pacific University ( HPU )"
