Victim,Date,Disfigurement,Details
Alexios Philanthropenos,1295,Blinded,"Governor of the Thracesian Theme , he rose up against Andronikos III Palaiologos , but was captured by loyalist soldiers and blinded"
Anastasius of Constantinople,743,Blinded,For supporting Artabasdos 's usurpation against Constantine V he was blinded
Artabasdos,743,Blinded,Artabasdos and his sons Nikephoros and Niketas were blinded for his failed insurrection against Constantine V during the iconoclasm crisis
Sisinnios,743,Blinded,"Strategos of the Thracesians , he supported Constantine V against Artabasdos but was blinded after the former 's victory due to suspicions of conspiring to seize the throne himself"
"Antiochos , David , Theophylact of Iconium , Christopher , Constantine , Theophylact the kandidatos , and 11 others",766,Blinded,"High-ranking provincial governors and court officials , members of a group of nineteen who conspired against Constantine V. The plot was discovered and its members publicly paraded at the Hippodrome on 25 August 766 . The two ringleaders , brothers Constantine and Strategios Podopagouros , were executed , the rest blinded and exiled , and every year imperial agents were sent to deliver 100 lashes"
John Athalarichos,637,Nose and hands amputated,"Amputation carried out after he tried to overthrow his father , Heraclius ; his co-conspiritor Theodore who received the same punishment was exiled and also had one leg amputated"
Bardanes Tourkos,803/804,Blinded,"Led an unsuccessful revolt against Nikephoros I and surrendered . Blinded whilst in confinement in a monastery , likely on Nikephoros ' orders"
Bardas Phokas,1026,Blinded,Accused of plotting against Constantine VIII
Constantine Diogenes,1095,Blinded,"Impostor pretender , led a Cuman invasion of Thrace against Alexios I Komnenos"
"Philippikos Bardanes , Theodore Myakes , George Bouraphos",713,Blinded,"A rebellion of Opsician troops succeeded in getting a number of men into the city where they were able to blind Philippicus at a bathhouse on June 3 , 713 . He was followed a week later by the patrikios Theodore Myakes and a week after that by the Count of the Opsicians , the patrikios George Bouraphos"
Callinicus I of Constantinople,705,Blinded,Supported the overthrow of Justinian II and was blinded when he came back to power in 705
Constantine VI,797,Blinded,"Emperor who was blinded by supporters of his mother , Irene of Athens . Constantine died of his injuries shortly thereafter , leading to Irene being crowned the empress regnant"
"Constantine , Basil , Gregory and Theodosios",820,Castrated,"The sons of Leo V the Armenian , who was deposed on Christmas Day , 820 , by Michael II the Amorian . They were exiled to Prote , castrated and confined to a monastery as monks"
Leo Phokas,919,Blinded,Rose up against the assumption of power by Romanos Lekapenos but was captured and blinded
Constantine Aspietes,1190/1,Blinded,Suspected of plotting a revolt against Isaac II Angelos because he distributed delayed pay to his troops
"Leo Phokas , Nikephoros Phokas",971,Blinded,Plotted a revolt against John I Tzimiskes
Nikephoros,792,Blinded,"Uncle of Constantine VI , blinded , while his four brothers had their tongues cut , after the tagmata conspired to put him on the throne in the aftermath of the Battle of Marcellae"
Alexios Mosele,792,Blinded,"General of the Armeniacs , blinded because of their refusal to acknowledge Irene of Athens as empress and co-ruler of Constantine VI"
Constantine Diogenes,1028-1034,Blinded,The popular general was blinded because of a supposed plot against Romanos III Argyros
Nikephoros Bryennios,1078,Blinded,"Nikephoros had rebelled against Michael VII in 1077 , and continued his rebellion against Nikephoros III Botaneiates . Defeated and captured by Alexios Komnenos at Kalavrye , he was blinded"
