Team,City ( all in Arizona ),Stadium,Affiliate
Arizona League Angels,Tempe,Tempe Diablo Stadium,Los Angeles Angels
Arizona League Athletics Gold,Mesa,Fitch Park,Oakland Athletics
Arizona League Athletics Green,Mesa,Fitch Park,Oakland Athletics
Arizona League Brewers Blue,Phoenix,Maryvale Baseball Park,Milwaukee Brewers
Arizona League Brewers Gold,Phoenix,Maryvale Baseball Park,Milwaukee Brewers
Arizona League Cubs 1,Mesa,Sloan Park,Chicago Cubs
Arizona League Cubs 2,Mesa,Sloan Park,Chicago Cubs
Arizona League Diamondbacks,Scottsdale,Salt River Fields at Talking Stick,Arizona Diamondbacks
Arizona League Dodgers 1,Glendale,Camelback Ranch,Los Angeles Dodgers
Arizona League Dodgers 2,Glendale,Camelback Ranch,Los Angeles Dodgers
Arizona League Giants Black,Scottsdale,Scottsdale Stadium,San Francisco Giants
Arizona League Giants Orange,Scottsdale,Scottsdale Stadium,San Francisco Giants
Arizona League Indians Blue,Goodyear,Goodyear Ballpark,Cleveland Indians
Arizona League Indians Red,Goodyear,Goodyear Ballpark,Cleveland Indians
Arizona League Mariners,Peoria,Peoria Sports Complex,Seattle Mariners
Arizona League Padres 1,Peoria,Peoria Sports Complex,San Diego Padres
Arizona League Padres 2,Peoria,Peoria Sports Complex,San Diego Padres
Arizona League Rangers,Surprise,Surprise Stadium,Texas Rangers
Arizona League Reds,Goodyear,Goodyear Ballpark,Cincinnati Reds
Arizona League Royals,Surprise,Surprise Stadium,Kansas City Royals
