Pos,No,Driver,Constructor,Lap,Gap
1,10,Juan Pablo Montoya,McLaren - Mercedes,1:46.391,
2,9,Kimi Räikkönen,McLaren - Mercedes,1:46.440,+0.049
3,6,Giancarlo Fisichella,Renault,1:46.497,+0.106
4,16,Jarno Trulli,Toyota,1:46.596,+0.205
5,5,Fernando Alonso,Renault,1:46.760,+0.369
6,17,Ralf Schumacher,Toyota,1:47.401,+1.010
7,1,Michael Schumacher,Ferrari,1:47.476,+1.085
8,12,Felipe Massa,Sauber - Petronas,1:47.867,+1.476
9,3,Jenson Button,BAR - Honda,1:47.978,+1.587
10,7,Mark Webber,Williams - BMW,1:48.071,+1.680
11,4,Takuma Sato,BAR - Honda,1:48.353,+1.962
12,14,David Coulthard,Red Bull - Cosworth,1:48.508,+2.117
13,2,Rubens Barrichello,Ferrari,1:48.550,+2.159
14,11,Jacques Villeneuve,Sauber - Petronas,1:48.889,+2.498
15,8,Antônio Pizzonia,Williams - BMW,1:48.898,+2.507
16,15,Christian Klien,Red Bull - Cosworth,1:48.994,+2.603
17,20,Robert Doornbos,Minardi - Cosworth,1:49.779,+3.388
18,21,Christijan Albers,Minardi - Cosworth,1:49.842,+3.451
19,18,Tiago Monteiro,Jordan - Toyota,1:51.498,+5.107
20,19,Narain Karthikeyan,Jordan - Toyota,1:51.675,+5.284
