#,Artist,Album,Country of Origin,Tracks in the Hottest 100
1,Phoenix,Wolfgang Amadeus Phoenix,France,"4 , 13"
2,The Temper Trap,Conditions,Australia,"21 , 48 , 58"
3,Muse,The Resistance,United Kingdom,"9 , 19 , 35 , 84"
4,Mumford & Sons,Sigh No More,United Kingdom,"1 , 81"
5,Florence and the Machine,Lungs,United Kingdom,"10 , 44 , 45 , 90"
6,Sarah Blasko,As Day Follows Night,Australia,"28 , 29"
7,Yeah Yeah Yeahs,It 's Blitz !,United States,"11 , 25"
8,Paul Dempsey,Everything Is True,Australia,35
9,Lisa Mitchell,Wonder,Australia,7 ( 91 in 2008 )
10,Passion Pit,Manners,United States,"20 , 38"
11,Lily Allen,"It 's Not Me , It 's You",United Kingdom,"8 , 60 ( 46 , 90 in 2008 )"
12,Kasabian,West Ryder Pauper Lunatic Asylum,United Kingdom,"17 , 51 , 85"
13,Hilltop Hoods,State of the Art,Australia,"3 , 37"
14,La Roux,La Roux,United Kingdom,"6 , 27"
15,Metric,Fantasies,Canada,26
16,Arctic Monkeys,Humbug,United Kingdom,54
17,Karnivool,Sound Awake,Australia,"47 , 63"
18,Bertie Blackman,Secrets & Lies,Australia,"71 , 93"
19,Grizzly Bear,Veckatimest,United States,61
20,Them Crooked Vultures,Them Crooked Vultures,United States,98
