Organization name,Letters,Founding date,University,Type
Alpha Pi Sigma,ΑΠΣ,"March 10 , 1990",San Diego State University,Sorority
Alpha Psi Lambda,ΑΨΛ,"February 11 , 1985",Ohio State University,Coed
Gamma Zeta Alpha,ΓΖΑ,"December 3 , 1987","California State University , Chico",Fraternity
Gamma Phi Omega,ΓΦΩ,"April 17 , 1991",Indiana University,Sorority
Kappa Delta Chi,ΚΔΧ,"April 6 , 1987",Texas Tech University,Sorority
Lambda Alpha Upsilon,ΛΑΥ,"December 10 , 1985",SUNY Buffalo,Fraternity
Lambda Theta Nu,ΛΘΝ,"March 11 , 1986","California State University , Chico",Sorority
Lambda Pi Upsilon,ΛΠΥ,"November 6 , 1992",SUNY Geneseo,Sorority
Lambda Pi Chi,ΛΠΧ,"April 16 , 1988",Cornell University,Sorority
Lambda Sigma Upsilon,ΛΣΥ,"April 5 , 1979",Rutgers University - New Brunswick,Fraternity
Lambda Upsilon Lambda,ΛΥΛ,"February 19 , 1982",Cornell University,Fraternity
Sigma Iota Alpha,ΣΙΑ,"September 29 , 1990","SUNY Albany , SUNY Stony Brook , SUNY New Paltz and Rensselaer Polytechnic Institute",Sorority
Sigma Lambda Upsilon,ΣΛΥ,"December 1 , 1987",Binghamton University,Sorority
Phi Iota Alpha,ΦΙΑ,"December 26 , 1931",Rensselaer Polytechnic Institute,Fraternity
Chi Upsilon Sigma,ΧΥΣ,"April 29 , 1980",Rutgers University,Sorority
Omega Phi Beta,ΩΦΒ,"March 15 , 1989",SUNY Albany,Sorority
