Original NFL team,Player,Pos,College,Conf
Chicago Bears,Brian Piccolo,RB,Wake Forest,ACC
Chicago Bears,Ron Smith,CB,Wisconsin,Big Ten
Dallas Cowboys,Obert Logan,S,Trinity,Southland
Dallas Cowboys,Dan Reeves,S,South Carolina,ACC
Dallas Cowboys,Bill Sandeman,OT,Pacific,Ind . ( Univ . )
Dallas Cowboys,A.D. Whitfield,RB,North Texas,MVC
Minnesota Vikings,Earsell Mackbee,CB,Utah State,Ind . ( Univ . )
Minnesota Vikings,Lonnie Warwick,LB,Tennessee Tech,OVC
Philadelphia Eagles,Jim Nettles,CB,Wisconsin,Big Ten
Philadelphia Eagles,Harold Wells,LB,Purdue,Big Ten
Pittsburgh Steelers,Charles Leigh,RB,,
Pittsburgh Steelers,Jerry Simmons,WR,Bethune-Cookman,SIAC
Washington Redskins,Rickie Harris,CB,Arizona,WAC
