Dates,Tournament,Location,Winner
"Nov 24 , 2011",Hahn Premium Light & Konami Port Kembla Golf Club Pro-Am,Pork Kembla Golf Club,Stacey Keating ( 1 )
"Nov 25 , 2011",Power Ford Castle Hill Country Club Pro-Am,Castle Hill Country Club,Bree Arthur ( 1 )
"Nov 27-28 , 2011",Mount Broughton Ladies Classic,Mount Broughton Golf and Country Club,Stacey Keating ( 2 )
"Nov 29 , 2011",Lady Anne Funerals ALPG Pro-Am,Ryde-Parramatta Golf Club,Bree Arthur ( 2 )
"Dec 3-4 , 2011",Xstrata Coal Branxton Golf Club Pro-Am,Branxton Golf Club,Tamara Johns ( 5 )
Jan 6-8,Women 's Victorian Open,Woodlands/Spring Valley Golf Club,Joanna Klatten ( 1 )
Jan 20-22,ActewAGL Royal Canberra Ladies Classic,Royal Canberra Golf Club,Karen Lunn ( 4 )
Jan 27-29,Bing Lee Samsung Women 's NSW Open,Oatlands Golf Club,"Lydia Ko ( n/a , amateur )"
Feb 2-5,Gold Coast RACV Australian Ladies Masters,RACV Royal Pines Resort,Christel Boeljon ( n/a )
Feb 9-12,ISPS Handa Women 's Australian Open,Royal Melbourne Golf Club,Jessica Korda ( n/a )
Feb 17-19,ISPS Handa New Zealand Women 's Open,Pegasus Golf Course,Lindsey Wright ( 2 )
